selected_bssid_compact,id,building_id,floor1_id,floor2_id,space_id,lat,lon,timestamp_epoch,phone,gps_lat,gps_lon,gps_accuracy,ori_x,ori_y,ori_z,distance_to_known_ap_m,rss_dbm
b28ba99b8d2a,866,1,5,5,,36.3128076,59.5263696,1765444452832,Redmi/24117RN76G,36.3128117,59.5263983,2.85,7.38112,-82.1298,21.9237,0.7938540902604664,-38
b28ba99b8d2a,867,1,5,5,,36.3128076,59.5263696,1765444460937,Redmi/24117RN76G,36.3127996,59.5264183,3.35,131.262,-87.1401,39.6988,0.7938540902604664,-40
b28ba99b8d2a,868,1,5,5,,36.3128076,59.5263696,1765444461944,Redmi/24117RN76G,36.3127996,59.5264183,3.35,99.7414,-86.9868,-0.474914,0.7938540902604664,-40
b28ba99b8d2a,869,1,5,5,,36.3128076,59.5263696,1765444466012,Redmi/24117RN76G,36.3128223,59.5263889,3.45,168.235,-83.8834,46.0867,0.7938540902604664,-25
b28ba99b8d2a,870,1,5,5,,36.3128076,59.5263696,1765444467023,Redmi/24117RN76G,36.3128223,59.5263889,3.45,174.974,-82.9402,39.1778,0.7938540902604664,-25
b28ba99b8d2a,871,1,5,5,,36.3128076,59.5263696,1765444473092,Redmi/24117RN76G,36.3128441,59.526359,3.55,193.488,-84.356,-6.19441,0.7938540902604664,-39
b28ba99b8d2a,872,1,5,5,,36.3128076,59.5263696,1765444474110,Redmi/24117RN76G,36.3128441,59.526359,3.55,216.992,-86.9677,0.239064,0.7938540902604664,-39
b28ba99b8d2a,873,1,5,5,,36.3128076,59.5263696,1765444480197,Redmi/24117RN76G,36.3128279,59.5263357,3.733,304.363,-81.9591,20.0857,0.7938540902604664,-37
b28ba99b8d2a,874,1,5,5,,36.3128076,59.5263696,1765444481208,Redmi/24117RN76G,36.3128279,59.5263357,3.733,297.032,-70.8511,-28.8425,0.7938540902604664,-37
b28ba99b8d2a,875,1,5,5,,36.3128076,59.5263696,1765444487326,Redmi/24117RN76G,36.3128139,59.5263122,4.05,96.2051,-78.4387,-1.17075,0.7938540902604664,-35
b28ba99b8d2a,876,1,5,5,,36.3128076,59.5263696,1765444488339,Redmi/24117RN76G,36.3128139,59.5263122,4.05,93.4611,-84.3483,-30.4119,0.7938540902604664,-35
b28ba99b8d2a,2499,1,5,5,,36.3128115,59.5263679,1766045969885,HONOR/ALI-NX1,36.3128,59.5264052,11.159,169.987,-40.561,-2.30701,0.8982894445044264,-42
b28ba99b8d2a,2500,1,5,5,,36.3128115,59.5263679,1766045974949,HONOR/ALI-NX1,36.3128061,59.5263221,10.547,155.831,-86.8662,-44.945,0.8982894445044264,-39
b28ba99b8d2a,2501,1,5,5,,36.3128115,59.5263679,1766045983055,HONOR/ALI-NX1,36.3129576,59.5263747,10.48,323.104,-85.0858,-33.1447,0.8982894445044264,-40
b28ba99b8d2a,2502,1,5,5,,36.3128115,59.5263679,1766045991188,HONOR/ALI-NX1,36.3128466,59.526352,12.179,296.479,-17.9537,8.1414,0.8982894445044264,-46
b28ba99b8d2a,2503,1,5,5,,36.3128115,59.5263679,1766045999306,HONOR/ALI-NX1,36.3128266,59.5263752,11.848,155.876,-31.5076,-0.396942,0.8982894445044264,-37
b28ba99b8d2a,2504,1,5,5,,36.3127978,59.5263734,1766046011472,HONOR/ALI-NX1,36.312815,59.5263665,8.292,149.637,-35.713,-0.698133,1.3986046739349274,-37
b28ba99b8d2a,2505,1,5,5,,36.3127978,59.5263734,1766046015519,HONOR/ALI-NX1,36.3128141,59.52637,6.664,132.15,-87.7998,35.3847,1.3986046739349274,-34
b28ba99b8d2a,2506,1,5,5,,36.3127978,59.5263734,1766046019560,HONOR/ALI-NX1,36.3128141,59.52637,6.664,152.892,-84.9506,-55.8013,1.3986046739349274,-27
b28ba99b8d2a,2507,1,5,5,,36.3127978,59.5263734,1766046023622,HONOR/ALI-NX1,36.3128167,59.5263711,6.831,351.984,-89.7106,83.7645,1.3986046739349274,-25
b28ba99b8d2a,2508,1,5,5,,36.3127978,59.5263734,1766046033760,HONOR/ALI-NX1,36.3128464,59.5263595,8.505,156.552,-40.4522,8.39824,1.3986046739349274,-31
b28ba99b8d2a,877,1,5,5,,36.3128242,59.5263627,1765444496433,Redmi/24117RN76G,36.3127093,59.526393,4.733,13.929,-81.1851,34.1078,2.0780500125137586,-43
b28ba99b8d2a,878,1,5,5,,36.3128242,59.5263627,1765444501482,Redmi/24117RN76G,36.3126636,59.5264438,4.4,6.0993,-83.9032,-7.97804,2.0780500125137586,-45
b28ba99b8d2a,879,1,5,5,,36.3128242,59.5263627,1765444502494,Redmi/24117RN76G,36.3126636,59.5264438,4.4,357.179,-82.9247,-22.4183,2.0780500125137586,-45
b28ba99b8d2a,880,1,5,5,,36.3128242,59.5263627,1765444508553,Redmi/24117RN76G,36.3126665,59.5264726,3.933,90.7065,-86.245,-9.30564,2.0780500125137586,-42
