date,avg_spo2,max_spo2,min_spo2
2026-02-09,97.27,99.0,96.0
2026-02-10,97.64,99.0,96.0
2026-02-11,97.65,99.0,92.0
2026-02-12,97.62,99.0,96.0
2026-02-13,97.79,99.0,96.0
2026-02-14,97.81,99.0,96.0
2026-02-15,97.76,99.0,96.0
2026-02-16,97.56,99.0,92.0
2026-02-17,97.68,99.0,92.0
2026-02-18,97.33,99.0,92.0
2026-02-19,97.63,99.0,92.0
2026-02-20,97.73,99.0,92.0
2026-02-21,97.68,99.0,96.0
2026-02-22,97.49,99.0,96.0
2026-02-23,97.72,99.0,96.0
2026-02-24,97.64,99.0,92.0
2026-02-25,97.57,99.0,96.0
2026-02-26,96.83,98.0,93.0
2026-02-27,97.47,99.0,92.0
2026-02-28,97.48,99.0,92.0
2026-03-01,97.55,99.0,92.0
2026-03-02,97.59,99.0,92.0
2026-03-03,97.66,99.0,96.0
2026-03-04,97.76,99.0,96.0
2026-03-05,97.69,99.0,96.0
2026-03-06,97.75,99.0,92.0
2026-03-07,97.84,99.0,92.0
2026-03-08,97.66,99.0,92.0
2026-03-09,97.84,99.0,93.0
2026-03-10,97.67,99.0,96.0
2026-03-11,97.69,99.0,92.0
2026-03-12,97.72,99.0,92.0
2026-03-13,97.49,99.0,92.0
2026-03-14,97.47,99.0,92.0
2026-03-15,97.58,99.0,94.0
2026-03-16,97.71,99.0,92.0
2026-03-17,97.8,99.0,92.0
2026-03-18,97.59,99.0,96.0
2026-03-19,97.58,99.0,92.0
2026-03-20,97.59,99.0,92.0
2026-03-21,97.84,99.0,96.0
2026-03-22,97.83,99.0,96.0
2026-03-23,97.79,99.0,93.0
2026-03-24,97.74,99.0,92.0
2026-03-25,97.59,99.0,92.0
2026-03-26,97.73,99.0,92.0
2026-03-27,97.68,99.0,92.0
2026-03-28,97.58,99.0,92.0
2026-03-29,97.49,99.0,92.0
2026-03-30,97.48,99.0,92.0
2026-03-31,97.19,99.0,92.0
2026-04-01,97.32,99.0,92.0
2026-04-02,97.66,99.0,96.0
2026-04-03,97.42,99.0,92.0
2026-04-04,97.48,99.0,92.0
2026-04-05,97.72,99.0,96.0
2026-04-06,97.4,99.0,92.0
2026-04-07,97.78,99.0,94.0
2026-04-08,97.83,99.0,96.0
2026-04-09,97.78,99.0,96.0
2026-04-10,97.36,99.0,92.0
2026-04-11,97.8,99.0,92.0
2026-04-12,97.79,99.0,96.0
2026-04-13,97.71,99.0,92.0
2026-04-14,97.71,99.0,92.0
2026-04-15,97.46,99.0,96.0
2026-04-16,97.72,99.0,96.0
2026-04-17,97.87,99.0,96.0
2026-04-18,97.59,99.0,94.0
2026-04-19,97.44,99.0,92.0
2026-04-20,97.59,99.0,92.0
2026-04-21,97.82,99.0,92.0
2026-04-22,97.91,99.0,96.0
2026-04-23,97.37,99.0,92.0
2026-04-24,97.9,99.0,96.0
2026-04-25,97.6,99.0,96.0
2026-04-26,97.58,99.0,92.0
2026-04-27,97.47,99.0,92.0
2026-04-28,97.86,99.0,96.0
2026-04-29,97.5,99.0,93.0
2026-04-30,97.31,99.0,94.0
2026-05-01,97.69,99.0,92.0
2026-05-02,97.69,99.0,92.0
2026-05-03,97.94,99.0,96.0
2026-05-04,97.77,99.0,96.0
2026-05-05,97.51,99.0,93.0
2026-05-06,97.47,99.0,96.0
2026-05-07,97.33,99.0,96.0
2026-05-08,97.81,99.0,96.0
2026-05-09,97.79,99.0,96.0
2026-05-10,97.73,99.0,97.0
2026-05-11,98.0,99.0,96.0
2026-05-12,97.52,99.0,96.0
2026-05-13,96.62,99.0,93.0
2026-05-14,97.78,99.0,96.0
2026-05-15,98.0,98.0,98.0
2026-05-16,97.82,99.0,96.0
