date,avg_heart_rate,max_heart_rate,min_heart_rate,avg_spo2,max_spo2,min_spo2,daily_step_count,shoulder_asymmetry,slouch_angle,Jitter,Shimmer,HNR,F1,F2
2/6/2026,90.5,177,62,97.27,99,96,6944,1.9929199,179.2234351,0.003926705,0.08192851,15.08812377,546.0352754,1063.373159
2/9/2026,72.76,103,57,97.27,99,96,6144,1.9929199,178.3334351,0.003926705,0.08292851,15.08812377,546.0352754,1073.173159
2/10/2026,75.81,114,45,97.64,99,96,5951,1.9729199,179.2234351,0.003926705,0.08292851,15.08812377,546.0352754,1063.373159
2/11/2026,77.41,163,50,97.65,99,92,4751,1.9929199,179.2234351,0.003926705,0.08292851,15.08812377,546.0352754,1063.373159
2/12/2026,77.57,123,49,97.62,99,96,5729,1.9929199,179.2234351,0.003926705,0.08292851,15.08812377,546.0352754,1063.373159
2/13/2026,76.37,131,48,97.79,99,96,4036,1.9929199,179.2234351,0.003926705,0.08292851,15.08812377,546.0352754,1063.373159
2/14/2026,81.93,137,45,97.81,99,96,4338,1.9929199,177.1234351,0.003926705,0.08292851,15.08812377,546.0352754,1063.373159
2/15/2026,76.61,112,54,97.76,99,96,6760,1.9929199,179.2234351,0.003926705,0.08292851,15.08812377,546.0352754,1063.373159
2/16/2026,79.66,123,49,97.56,99,92,6760,1.9929199,179.2234351,0.003926705,0.08292851,15.08812377,546.0352754,1063.373159
2/17/2026,75.51,124,49,97.68,99,92,4073,1.9929199,179.2234351,0.003926705,0.08292851,15.08812377,546.0352754,1063.373159
2/18/2026,78.81,123,50,97.33,99,92,4073,1.9929199,179.2234351,0.003926705,0.08292851,15.08812377,546.0352754,1063.373159
2/19/2026,78.32,122,52,97.63,99,92,4943,1.978444041,179.0504512,0.003889978,0.081471359,15.34791947,549.1422876,1067.177258
2/20/2026,78.13,121,52,97.73,99,92,13535,1.963968183,178.8774672,0.003853252,0.080014207,15.60771517,552.2492999,1070.981356
2/21/2026,86.48,161,50,97.68,99,96,13535,1.949492324,178.7044833,0.003816525,0.078557056,15.86751087,555.3563121,1074.785455
2/22/2026,69.26,121,48,97.49,99,96,3893,1.935016466,178.5314994,0.003779799,0.077099905,16.12730658,558.4633243,1078.589554
2/23/2026,65.97,117,46,97.72,99,96,4210,1.920540607,178.3585154,0.003743072,0.075642753,16.38710228,561.5703365,1082.393652
2/24/2026,69.57,115,49,97.64,99,92,5773,1.906064748,178.1855315,0.003706346,0.074185602,16.64689798,564.6773488,1086.197751
2/25/2026,75.81,122,53,97.57,99,96,5773,1.89158889,178.0125476,0.003669619,0.072728451,16.90669368,567.784361,1090.00185
2/26/2026,78.88,115,62,96.83,98,93,3609,1.877113031,177.8395637,0.003632893,0.071271299,17.16648938,570.8913732,1093.805948
2/27/2026,75.8,120,51,97.47,99,92,6579,1.862637172,177.6665797,0.003596166,0.069814148,17.42628508,573.9983854,1097.610047
2/28/2026,82.58,172,50,97.48,99,92,6579,1.848161314,177.4935958,0.003559439,0.068356997,17.68608078,577.1053977,1101.414146
3/1/2026,77.21,179,52,97.55,99,92,3540,1.833685455,177.3206119,0.003522713,0.066899845,17.94587649,580.2124099,1105.218244
3/2/2026,81.58,176,51,97.59,99,92,3540,1.819209597,177.1476279,0.003485986,0.065442694,18.20567219,583.3194221,1109.022343
3/3/2026,77.21,175,52,97.66,99,96,2937,1.804733738,176.974644,0.00344926,0.063985543,18.46546789,586.4264344,1112.826442
3/4/2026,76.97,108,51,97.76,99,96,5514,1.790257879,176.8016601,0.003412533,0.062528391,18.72526359,589.5334466,1116.63054
3/5/2026,83.72,168,56,97.69,99,96,5514,1.775782021,176.6286761,0.003375807,0.06107124,18.98505929,592.6404588,1120.434639
3/6/2026,85.4,177,54,97.75,99,92,4614,1.761306162,176.4556922,0.00333908,0.059614088,19.24485499,595.747471,1124.238737
3/7/2026,79.74,148,55,97.84,99,92,4253,1.746830303,176.2827083,0.003302354,0.058156937,19.50465069,598.8544833,1128.042836
3/8/2026,77.93,174,53,97.66,99,92,3377,1.732354445,176.1097243,0.003265627,0.056699786,19.76444639,601.9614955,1131.846935
3/9/2026,74.35,173,51,97.84,99,93,2829,1.717878586,175.9367404,0.003228901,0.055242634,20.0242421,605.0685077,1135.651033
3/10/2026,83.34,179,53,97.67,99,96,3071,1.703402728,175.7637565,0.003192174,0.053785483,20.2840378,608.17552,1139.455132
3/11/2026,80.98,177,54,97.69,99,92,4368,1.688926869,175.5907725,0.003155447,0.052328332,20.5438335,611.2825322,1143.259231
3/12/2026,78.34,178,54,97.72,99,92,4368,1.67445101,175.4177886,0.003118721,0.05087118,20.8036292,614.3895444,1147.063329
3/13/2026,75.91,142,53,97.49,99,92,3560,1.659975152,175.2448047,0.003081994,0.049414029,21.0634249,617.4965566,1150.867428
3/14/2026,79.21,176,52,97.47,99,92,3825,1.645499293,175.0718208,0.003045268,0.047956878,21.3232206,620.6035689,1154.671527
3/15/2026,76.75,176,54,97.58,99,94,3825,1.631023434,174.8988368,0.003008541,0.046499726,21.5830163,623.7105811,1158.475625
3/16/2026,76.12,121,51,97.71,99,92,4772,1.616547576,174.7258529,0.002971815,0.045042575,21.84281201,626.8175933,1162.279724
3/17/2026,75.96,119,53,97.8,99,92,5670,1.602071717,174.552869,0.002935088,0.043585424,22.10260771,629.9246055,1166.083823
3/18/2026,80.64,125,51,97.59,99,96,5670,1.587595859,174.379885,0.002898362,0.042128272,22.36240341,633.0316178,1169.887921
3/19/2026,74.42,119,49,97.58,99,92,4061,1.57312,174.2069011,0.002861635,0.040671121,22.62219911,636.13863,1173.69202
3/20/2026,79.2,184,56,97.59,99,92,4061,1.573554903,174.3005537,0.002928407,0.040615711,22.55576525,635.0310114,1173.03073
3/21/2026,78.54,175,52,97.84,99,96,3644,1.573989807,174.3942064,0.002995179,0.0405603,22.48933139,633.9233927,1172.369441
3/22/2026,77.74,176,55,97.83,99,96,3372,1.57442471,174.487859,0.003061952,0.04050489,22.42289753,632.8157741,1171.708151
3/23/2026,81.91,180,54,97.79,99,93,5444,1.574859614,174.5815117,0.003128724,0.04044948,22.35646366,631.7081554,1171.046862
3/24/2026,86.8,175,64,97.74,99,92,5984,1.575294517,174.6751643,0.003195496,0.040394069,22.2900298,630.6005368,1170.385572
3/25/2026,76.49,166,51,97.59,99,92,5984,1.57572942,174.768817,0.003262268,0.040338659,22.22359594,629.4929181,1169.724283
