com.samsung.shealth.activity.day_summary,6313013,6
movement_type,create_sh_ver,energy_type,exercise_time,step_count,exercise_calorie_target,active_time,target,others_time,modify_sh_ver,update_time,floors_target,create_time,floor_count,dynamic_active_time_target,exercise_time_target,goal,longest_active_time,score,move_hourly_count,duration_type,move_hourly_target,distance,dynamic_active_time,calorie,extra_data,deviceuuid,run_time,pkg_name,walk_time,longest_idle_time,datauuid,day_time
0,62950170,0,0,51,300,34017,90,0,63070030,2026-02-10 12:37:23.453,10,2026-02-09 20:24:41.215,0.0,30,30,-1,17342,0,1,0,8,37.239998,0,1.8500001,f7731ca3-fb0e-422d-9dbe-f17eeff0a69f.extra_data.json,9D1LETwId9,0,com.sec.android.app.shealth,34017,86400000,f7731ca3-fb0e-422d-9dbe-f17eeff0a69f,2026-02-09 00:00:00.000,
0,62950170,0,0,0,300,0,90,0,62950170,2026-02-09 20:28:45.268,10,2026-02-09 20:24:41.882,0.0,30,30,-1,0,0,0,0,8,0.0,0,0.0,73d38bf4-b245-4f90-8f7b-4b3da5bca22f.extra_data.json,9D1LETwId9,0,com.sec.android.app.shealth,0,86400000,73d38bf4-b245-4f90-8f7b-4b3da5bca22f,2026-02-08 00:00:00.000,
0,62950170,0,0,0,300,0,90,0,62950170,2026-02-09 20:24:42.040,10,2026-02-09 20:24:42.040,0.0,30,30,-1,0,0,0,0,8,0.0,0,0.0,cff79dca-1311-4e67-86eb-5989f0c60723.extra_data.json,9D1LETwId9,0,com.sec.android.app.shealth,0,86400000,cff79dca-1311-4e67-86eb-5989f0c60723,2026-02-07 00:00:00.000,
0,62950170,0,0,0,300,0,90,0,62950170,2026-02-09 20:24:42.120,10,2026-02-09 20:24:42.120,0.0,30,30,-1,0,0,0,0,8,0.0,0,0.0,7031724e-f0a6-4188-8762-2f37e2df441f.extra_data.json,9D1LETwId9,0,com.sec.android.app.shealth,0,86400000,7031724e-f0a6-4188-8762-2f37e2df441f,2026-02-06 00:00:00.000,
0,62950170,0,0,0,300,0,90,0,62950170,2026-02-09 20:24:42.221,10,2026-02-09 20:24:42.221,0.0,30,30,-1,0,0,0,0,8,0.0,0,0.0,8f2c7b1b-e04f-4487-b43a-e835c5545c3d.extra_data.json,9D1LETwId9,0,com.sec.android.app.shealth,0,86400000,8f2c7b1b-e04f-4487-b43a-e835c5545c3d,2026-02-05 00:00:00.000,
0,62950170,0,0,0,300,0,90,0,62950170,2026-02-09 20:24:42.304,10,2026-02-09 20:24:42.304,0.0,30,30,-1,0,0,0,0,8,0.0,0,0.0,3109f5d8-214c-42df-9c77-dec3301b4265.extra_data.json,9D1LETwId9,0,com.sec.android.app.shealth,0,86400000,3109f5d8-214c-42df-9c77-dec3301b4265,2026-02-04 00:00:00.000,
0,62950170,0,0,0,300,0,90,0,62950170,2026-02-09 20:24:42.383,10,2026-02-09 20:24:42.383,0.0,30,30,-1,0,0,0,0,8,0.0,0,0.0,e304f195-945a-4273-b26d-1aa61a7baf93.extra_data.json,9D1LETwId9,0,com.sec.android.app.shealth,0,86400000,e304f195-945a-4273-b26d-1aa61a7baf93,2026-02-03 00:00:00.000,
0,62950170,0,0,0,300,0,90,0,62950170,2026-02-09 20:24:42.461,10,2026-02-09 20:24:42.461,0.0,30,30,-1,0,0,0,0,8,0.0,0,0.0,203fdd98-763b-4a1d-beb0-e6e305e891ee.extra_data.json,9D1LETwId9,0,com.sec.android.app.shealth,0,86400000,203fdd98-763b-4a1d-beb0-e6e305e891ee,2026-02-02 00:00:00.000,
0,62950170,0,0,0,300,0,90,0,62950170,2026-02-09 20:24:42.548,10,2026-02-09 20:24:42.548,0.0,30,30,-1,0,0,0,0,8,0.0,0,0.0,a07b1af4-5906-4fc9-9bf8-d5a83b8aca6f.extra_data.json,9D1LETwId9,0,com.sec.android.app.shealth,0,86400000,a07b1af4-5906-4fc9-9bf8-d5a83b8aca6f,2026-02-01 00:00:00.000,
0,62950170,0,0,0,300,0,90,0,62950170,2026-02-09 20:24:42.623,10,2026-02-09 20:24:42.623,0.0,30,30,-1,0,0,0,0,8,0.0,0,0.0,56e35360-70c3-495a-9c2b-66a4b5c55496.extra_data.json,9D1LETwId9,0,com.sec.android.app.shealth,0,86400000,56e35360-70c3-495a-9c2b-66a4b5c55496,2026-01-31 00:00:00.000,
0,62950170,0,0,0,300,0,90,0,62950170,2026-02-09 20:24:42.750,10,2026-02-09 20:24:42.750,0.0,30,30,-1,0,0,0,0,8,0.0,0,0.0,7dccc333-b3af-4b7b-a8ec-45028013fbf0.extra_data.json,9D1LETwId9,0,com.sec.android.app.shealth,0,86400000,7dccc333-b3af-4b7b-a8ec-45028013fbf0,2026-01-30 00:00:00.000,
