com.samsung.shealth.exercise,6313013,17
live_data_internal,mission_value,race_target,subset_data,start_longitude,routine_datauuid,total_calorie,completion_status,pace_info_id,activity_type,pace_live_data,sensing_status,source_type,mission_type,ftp,tracking_status,program_id,title,reward_status,heart_rate_sample_count,start_latitude,mission_extra_value,program_schedule_id,heart_rate_deviceuuid,location_data_internal,custom_id,additional_internal,com.samsung.health.exercise.duration,com.samsung.health.exercise.additional,com.samsung.health.exercise.create_sh_ver,com.samsung.health.exercise.mean_caloricburn_rate,com.samsung.health.exercise.location_data,com.samsung.health.exercise.start_time,com.samsung.health.exercise.exercise_type,com.samsung.health.exercise.custom,com.samsung.health.exercise.max_altitude,com.samsung.health.exercise.incline_distance,com.samsung.health.exercise.mean_heart_rate,com.samsung.health.exercise.count_type,com.samsung.health.exercise.mean_rpm,com.samsung.health.exercise.min_altitude,com.samsung.health.exercise.modify_sh_ver,com.samsung.health.exercise.max_heart_rate,com.samsung.health.exercise.update_time,com.samsung.health.exercise.create_time,com.samsung.health.exercise.client_data_id,com.samsung.health.exercise.max_power,com.samsung.health.exercise.max_speed,com.samsung.health.exercise.mean_cadence,com.samsung.health.exercise.min_heart_rate,com.samsung.health.exercise.client_data_ver,com.samsung.health.exercise.count,com.samsung.health.exercise.distance,com.samsung.health.exercise.max_caloricburn_rate,com.samsung.health.exercise.calorie,com.samsung.health.exercise.max_cadence,com.samsung.health.exercise.decline_distance,com.samsung.health.exercise.vo2_max,com.samsung.health.exercise.time_offset,com.samsung.health.exercise.deviceuuid,com.samsung.health.exercise.max_rpm,com.samsung.health.exercise.comment,com.samsung.health.exercise.live_data,com.samsung.health.exercise.mean_power,com.samsung.health.exercise.mean_speed,com.samsung.health.exercise.pkg_name,com.samsung.health.exercise.altitude_gain,com.samsung.health.exercise.altitude_loss,com.samsung.health.exercise.exercise_custom_type,com.samsung.health.exercise.auxiliary_devices,com.samsung.health.exercise.end_time,com.samsung.health.exercise.datauuid,com.samsung.health.exercise.sweat_loss
,,,,,,,1,,,,,4,0,,0,,,,,,,,,,,,626000,,63070030,,,2026-02-20 15:14:34.000,1001,,,,,30001,,,63070030,,2026-02-20 15:25:04.960,2026-02-20 15:25:04.960,,,1.4666666,,,,1011,764.82,,30.39,,,,UTC+0330,9D1LETwId9,,,310cc9b2-a431-4a9b-9948-ba53fd4e18f0.com.samsung.health.exercise.live_data.json,,1.2217572,com.sec.android.app.shealth,,,,,2026-02-20 15:25:00.000,310cc9b2-a431-4a9b-9948-ba53fd4e18f0,,
,,,,,,,1,,,,,4,0,,0,,,,,,,,,,,,1140000,,63070030,,,2026-02-21 08:47:00.000,1001,,,,,30001,,,63070030,,2026-02-21 09:15:23.176,2026-02-21 09:15:23.176,,,1.3333334,,,,1812,1352.43,,54.43,,,,UTC+0330,9D1LETwId9,,,42453230-cfb4-4268-a207-15bed9749b90.com.samsung.health.exercise.live_data.json,,1.1863421,com.sec.android.app.shealth,,,,,2026-02-21 09:06:00.000,42453230-cfb4-4268-a207-15bed9749b90,,
,,,,,,,1,,,,,4,0,,0,,,,,,,,,,,,1080000,,63070030,,,2026-02-21 10:28:00.000,1001,,,,,30001,,,63070030,,2026-02-21 10:47:36.579,2026-02-21 10:47:36.579,,,2.2777777,,,,1573,1192.05,,48.6,,,,UTC+0330,9D1LETwId9,,,a4d48e66-8f5d-4f0d-83c8-8ae0effc262b.com.samsung.health.exercise.live_data.json,,1.10375,com.sec.android.app.shealth,,,,,2026-02-21 10:46:00.000,a4d48e66-8f5d-4f0d-83c8-8ae0effc262b,,
,,,,,,,1,,,,,4,0,,0,,,,,,,,,,,,840000,,63070030,,,2026-02-21 14:00:00.000,1001,,,,,30001,,,63070030,,2026-02-21 14:16:04.958,2026-02-21 14:16:04.958,,,1.3611112,,,,1480,1103.93,,44.42,,,,UTC+0330,9D1LETwId9,,,396c041c-2c36-4677-b34f-acccf907ab10.com.samsung.health.exercise.live_data.json,,1.3142024,com.sec.android.app.shealth,,,,,2026-02-21 14:14:00.000,396c041c-2c36-4677-b34f-acccf907ab10,,
,,,,,,,1,,,,,4,0,,0,,,,,,,,,,,,863000,,63070030,,,2026-02-28 09:31:37.000,1001,,,,,30001,,,63070030,,2026-02-28 09:53:27.026,2026-02-28 09:53:27.026,,,1.8638333,,,,1805,1456.55,,55.9,,,,UTC+0330,9D1LETwId9,,,3d3fb957-eed6-46ed-9602-790a32ca1f43.com.samsung.health.exercise.live_data.json,,1.6877753,com.sec.android.app.shealth,,,,,2026-02-28 09:46:00.000,3d3fb957-eed6-46ed-9602-790a32ca1f43,,
,,,,,,,1,,,,,4,0,,0,,,,,,,,,,,,643000,,63110130,,,2026-03-20 11:09:17.000,1001,,,,,30001,,,63110130,,2026-03-20 11:27:05.950,2026-03-20 11:27:05.950,,,2.3508668,,,,1244,1030.79,,43.34,,,,UTC+0330,9D1LETwId9,,,7d65702e-3363-43d6-b28d-a0b08135989b.com.samsung.health.exercise.live_data.json,,1.6030949,com.sec.android.app.shealth,,,,,2026-03-20 11:20:00.000,7d65702e-3363-43d6-b28d-a0b08135989b,,
,,,,,,,1,,,,,4,0,,0,,,,,,,,,,,,716082,,63110130,,,2026-04-03 10:53:03.000,1001,,,,,30001,,,63110130,,2026-04-03 11:09:37.114,2026-04-03 11:09:37.114,,,2.2846665,,,,1621,1336.27,,52.8,,,,UTC+0330,9D1LETwId9,,,a5ff7445-0d29-4505-84d1-c4eaa0b69a02.com.samsung.health.exercise.live_data.json,,1.866085,com.sec.android.app.shealth,,,,,2026-04-03 11:05:00.000,a5ff7445-0d29-4505-84d1-c4eaa0b69a02,,
,,,,,,,1,,,,,4,0,,0,,,,,,,,,,,,960000,,63130130,,,2026-04-15 12:12:00.000,1001,,,,,30001,,,63130130,,2026-04-15 12:29:02.249,2026-04-15 12:29:02.249,,,1.3067334,,,,1543,1159.06,,46.36,,,,UTC+0330,9D1LETwId9,,,985aac81-4048-4d55-ad45-a070dc590ac6.com.samsung.health.exercise.live_data.json,,1.2073542,com.sec.android.app.shealth,,,,,2026-04-15 12:28:00.000,985aac81-4048-4d55-ad45-a070dc590ac6,,
,,,,,,,1,,,,,4,0,,0,,,,,,,,,,,,780000,,63130130,,,2026-05-02 14:54:00.000,1001,,,,,30001,,,63130130,,2026-05-02 15:09:19.911,2026-05-02 15:09:19.911,,,1.4722222,,,,1397,1055.19,,42.79,,,,UTC+0330,9D1LETwId9,,,3795b22b-d00a-4422-ac0e-b7665d1ad6b2.com.samsung.health.exercise.live_data.json,,1.3528076,com.sec.android.app.shealth,,,,,2026-05-02 15:07:00.000,3795b22b-d00a-4422-ac0e-b7665d1ad6b2,,
,,,,,,,1,,,,,4,0,,0,,,,,,,,,,,,660000,,63130130,,,2026-05-03 14:14:00.000,1001,,,,,30001,,,63130130,,2026-05-03 14:25:04.501,2026-05-03 14:25:04.501,,,1.3611112,,,,1010,754.14,,30.35,,,,UTC+0330,9D1LETwId9,,,e65f6fb6-1fa3-4e5f-a67a-f0fe1114e076.com.samsung.health.exercise.live_data.json,,1.1426364,com.sec.android.app.shealth,,,,,2026-05-03 14:25:00.000,e65f6fb6-1fa3-4e5f-a67a-f0fe1114e076,,
