com.samsung.shealth.tracker.pedometer_day_summary,6313013,7
create_sh_ver,step_count,binning_data,active_time,recommendation,modify_sh_ver,run_step_count,update_time,source_package_name,create_time,source_info,speed,distance,calorie,walk_step_count,deviceuuid,pkg_name,healthy_step,achievement,datauuid,day_time
62950170,51,9c5ed8b8-c7f4-4f97-83aa-2fc2311393c1.binning_data.json,34692,6000,62950170,0,2026-02-09 20:30:00.876,com.sec.android.app.shealth,2026-02-09 20:28:45.104,9c5ed8b8-c7f4-4f97-83aa-2fc2311393c1.source_info.json,1.0734358,37.239998,1.8500001,51,VfS0qUERdZ,com.sec.android.app.shealth,0,9c5ed8b8-c7f4-4f97-83aa-2fc2311393c1.achievement.json,9c5ed8b8-c7f4-4f97-83aa-2fc2311393c1,1770595200000,
62950170,51,3b5559eb-2e71-4496-8927-0fca3ee0b689.binning_data.json,34692,6000,62950170,0,2026-02-09 20:30:00.588,com.sec.android.app.shealth,2026-02-09 20:30:00.588,,1.0734358,37.239998,1.8500001,51,9D1LETwId9,com.sec.android.app.shealth,0,3b5559eb-2e71-4496-8927-0fca3ee0b689.achievement.json,3b5559eb-2e71-4496-8927-0fca3ee0b689,1770595200000,
62950170,2944,a1beb63e-d83c-484b-ba86-24988be50acd.binning_data.json,1907356,6000,63070030,8,2026-02-10 20:06:59.770,com.sec.android.app.shealth,2026-02-09 20:30:01.164,a1beb63e-d83c-484b-ba86-24988be50acd.source_info.json,1.162583,2217.46,112.71999,2936,VfS0qUERdZ,com.sec.android.app.shealth,0,a1beb63e-d83c-484b-ba86-24988be50acd.achievement.json,a1beb63e-d83c-484b-ba86-24988be50acd,1770681600000,
63070030,2944,e5c354a8-e8a9-42f4-b951-14d29ea2c5d7.binning_data.json,1907356,6000,63070030,8,2026-02-10 20:30:00.506,com.sec.android.app.shealth,2026-02-10 20:30:00.506,,1.162583,2217.46,112.71999,2936,9D1LETwId9,com.sec.android.app.shealth,0,e5c354a8-e8a9-42f4-b951-14d29ea2c5d7.achievement.json,e5c354a8-e8a9-42f4-b951-14d29ea2c5d7,1770681600000,
63070030,3751,6bcd8f83-bec4-43bc-b21d-c3a4c71e226a.binning_data.json,2339294,6000,63070030,8,2026-02-11 20:19:55.239,com.sec.android.app.shealth,2026-02-10 20:44:40.185,6bcd8f83-bec4-43bc-b21d-c3a4c71e226a.source_info.json,1.2114291,2833.89,144.34999,3743,VfS0qUERdZ,com.sec.android.app.shealth,0,6bcd8f83-bec4-43bc-b21d-c3a4c71e226a.achievement.json,6bcd8f83-bec4-43bc-b21d-c3a4c71e226a,1770768000000,
63070030,3751,e247fed4-f50d-4da6-9c3a-0dbc797b6f6b.binning_data.json,2339294,6000,63070030,8,2026-02-11 20:30:00.671,com.sec.android.app.shealth,2026-02-11 20:30:00.671,,1.2114291,2833.89,144.34999,3743,9D1LETwId9,com.sec.android.app.shealth,0,e247fed4-f50d-4da6-9c3a-0dbc797b6f6b.achievement.json,e247fed4-f50d-4da6-9c3a-0dbc797b6f6b,1770768000000,
63070030,2906,cb20fe76-8c2b-4448-a53a-4958c1948679.binning_data.json,1825725,6000,63070030,7,2026-02-12 20:11:38.836,com.sec.android.app.shealth,2026-02-11 21:04:28.134,cb20fe76-8c2b-4448-a53a-4958c1948679.source_info.json,1.2120991,2212.96,114.62,2899,VfS0qUERdZ,com.sec.android.app.shealth,0,cb20fe76-8c2b-4448-a53a-4958c1948679.achievement.json,cb20fe76-8c2b-4448-a53a-4958c1948679,1770854400000,
63070030,2906,cf892d18-5861-4b16-96e0-947f4a05b2b1.binning_data.json,1825725,6000,63070030,7,2026-02-12 20:30:00.866,com.sec.android.app.shealth,2026-02-12 20:30:00.866,,1.2120991,2212.96,114.62,2899,9D1LETwId9,com.sec.android.app.shealth,0,cf892d18-5861-4b16-96e0-947f4a05b2b1.achievement.json,cf892d18-5861-4b16-96e0-947f4a05b2b1,1770854400000,
63070030,3729,f9e6c3f6-e5b8-4697-9249-aa852806f4b6.binning_data.json,2254292,6000,63070030,12,2026-02-13 18:27:47.833,com.sec.android.app.shealth,2026-02-12 20:35:52.060,f9e6c3f6-e5b8-4697-9249-aa852806f4b6.source_info.json,1.2709978,2865.2,144.8,3717,VfS0qUERdZ,com.sec.android.app.shealth,0,f9e6c3f6-e5b8-4697-9249-aa852806f4b6.achievement.json,f9e6c3f6-e5b8-4697-9249-aa852806f4b6,1770940800000,
63070030,3729,9367c7d0-f9cd-477a-a823-9424214ccfe9.binning_data.json,2254292,6000,63070030,12,2026-02-13 20:30:00.799,com.sec.android.app.shealth,2026-02-13 20:30:00.799,,1.2709978,2865.2,144.8,3717,9D1LETwId9,com.sec.android.app.shealth,0,9367c7d0-f9cd-477a-a823-9424214ccfe9.achievement.json,9367c7d0-f9cd-477a-a823-9424214ccfe9,1770940800000,
63070030,4038,d601853d-457e-465f-b80d-c205bd6b8bbd.binning_data.json,2474149,6000,63070030,0,2026-02-14 19:38:46.160,com.sec.android.app.shealth,2026-02-13 20:43:40.695,d601853d-457e-465f-b80d-c205bd6b8bbd.source_info.json,1.2216398,3022.52,152.34,4038,VfS0qUERdZ,com.sec.android.app.shealth,0,d601853d-457e-465f-b80d-c205bd6b8bbd.achievement.json,d601853d-457e-465f-b80d-c205bd6b8bbd,1771027200000,
63070030,4038,b7325065-3477-4797-8421-14b7db746e84.binning_data.json,2474149,6000,63070030,0,2026-02-14 20:30:00.529,com.sec.android.app.shealth,2026-02-14 20:30:00.529,,1.2216398,3022.52,152.34,4038,9D1LETwId9,com.sec.android.app.shealth,0,b7325065-3477-4797-8421-14b7db746e84.achievement.json,b7325065-3477-4797-8421-14b7db746e84,1771027200000,
63070030,3095,072c53ca-376d-4018-8983-7d0e891e8fba.binning_data.json,1996361,6000,63070030,1,2026-02-15 20:05:45.524,com.sec.android.app.shealth,2026-02-14 20:44:51.029,072c53ca-376d-4018-8983-7d0e891e8fba.source_info.json,1.1712453,2338.23,119.84,3094,VfS0qUERdZ,com.sec.android.app.shealth,0,072c53ca-376d-4018-8983-7d0e891e8fba.achievement.json,072c53ca-376d-4018-8983-7d0e891e8fba,1771113600000,
63070030,3095,d2780c8c-00cd-48b0-aa78-179861f4f835.binning_data.json,1996361,6000,63070030,1,2026-02-15 20:30:00.885,com.sec.android.app.shealth,2026-02-15 20:30:00.885,,1.1712453,2338.23,119.84,3094,9D1LETwId9,com.sec.android.app.shealth,0,d2780c8c-00cd-48b0-aa78-179861f4f835.achievement.json,d2780c8c-00cd-48b0-aa78-179861f4f835,1771113600000,
63070030,6760,6a1477ea-8219-4ac6-8886-d0d800a4fcdd.binning_data.json,4104347,6000,63070030,18,2026-02-16 19:59:47.694,com.sec.android.app.shealth,2026-02-15 21:19:29.144,6a1477ea-8219-4ac6-8886-d0d800a4fcdd.source_info.json,1.2491609,5126.9897,214.82999,6742,VfS0qUERdZ,com.sec.android.app.shealth,0,6a1477ea-8219-4ac6-8886-d0d800a4fcdd.achievement.json,6a1477ea-8219-4ac6-8886-d0d800a4fcdd,1771200000000,
63070030,6760,f32d4e2e-8b5c-42fe-8196-0684c209b6b9.binning_data.json,4104347,6000,63070030,18,2026-02-16 20:30:01.442,com.sec.android.app.shealth,2026-02-16 20:30:01.442,,1.2491609,5126.9897,214.82999,6742,9D1LETwId9,com.sec.android.app.shealth,0,f32d4e2e-8b5c-42fe-8196-0684c209b6b9.achievement.json,f32d4e2e-8b5c-42fe-8196-0684c209b6b9,1771200000000,
63070030,3058,f9c0c221-a608-4db9-a1b8-9acf82df9770.binning_data.json,1918548,6000,63070030,2,2026-02-17 19:58:34.061,com.sec.android.app.shealth,2026-02-16 20:31:44.402,f9c0c221-a608-4db9-a1b8-9acf82df9770.source_info.json,1.221934,2344.34,100.16999,3056,VfS0qUERdZ,com.sec.android.app.shealth,0,f9c0c221-a608-4db9-a1b8-9acf82df9770.achievement.json,f9c0c221-a608-4db9-a1b8-9acf82df9770,1771286400000,
63070030,3058,483422c2-311d-491f-bd29-c8f6c61e4645.binning_data.json,1918548,6000,63070030,2,2026-02-17 20:30:00.601,com.sec.android.app.shealth,2026-02-17 20:30:00.601,,1.221934,2344.34,100.16999,3056,9D1LETwId9,com.sec.android.app.shealth,0,483422c2-311d-491f-bd29-c8f6c61e4645.achievement.json,483422c2-311d-491f-bd29-c8f6c61e4645,1771286400000,
63070030,4073,91da434a-56cf-470a-8562-865e33ed98b1.binning_data.json,2550610,6000,63070030,4,2026-02-19 20:30:01.331,com.sec.android.app.shealth,2026-02-17 20:30:09.779,91da434a-56cf-470a-8562-865e33ed98b1.source_info.json,1.1942396,3046.04,128.71999,4069,VfS0qUERdZ,com.sec.android.app.shealth,0,91da434a-56cf-470a-8562-865e33ed98b1.achievement.json,91da434a-56cf-470a-8562-865e33ed98b1,1771372800000,
63070030,4073,cff379d1-4de4-40a5-8b81-952e34eb0812.binning_data.json,2550610,6000,63070030,4,2026-02-18 20:30:17.893,com.sec.android.app.shealth,2026-02-18 20:30:00.671,,1.1942396,3046.04,128.71999,4069,9D1LETwId9,com.sec.android.app.shealth,0,cff379d1-4de4-40a5-8b81-952e34eb0812.achievement.json,cff379d1-4de4-40a5-8b81-952e34eb0812,1771372800000,
63070030,3945,7035444c-e695-4716-a3fb-145c5486c949.binning_data.json,2462182,6000,63070030,6,2026-02-19 20:30:00.991,com.sec.android.app.shealth,2026-02-18 20:30:17.886,,1.2049189,2966.73,124.91998,3939,9D1LETwId9,com.sec.android.app.shealth,0,7035444c-e695-4716-a3fb-145c5486c949.achievement.json,7035444c-e695-4716-a3fb-145c5486c949,1771459200000,
63070030,3945,8a57caea-46ff-4cef-8051-05753a6ad540.binning_data.json,2462182,6000,63070030,6,2026-02-19 20:21:19.747,com.sec.android.app.shealth,2026-02-18 20:30:18.151,8a57caea-46ff-4cef-8051-05753a6ad540.source_info.json,1.2049189,2966.73,124.91998,3939,VfS0qUERdZ,com.sec.android.app.shealth,0,8a57caea-46ff-4cef-8051-05753a6ad540.achievement.json,8a57caea-46ff-4cef-8051-05753a6ad540,1771459200000,
