com.samsung.shealth.tracker.pedometer_step_count,6313013,2
duration,version_code,run_step,walk_step,com.samsung.health.step_count.start_time,com.samsung.health.step_count.sample_position_type,com.samsung.health.step_count.custom,com.samsung.health.step_count.update_time,com.samsung.health.step_count.create_time,com.samsung.health.step_count.count,com.samsung.health.step_count.speed,com.samsung.health.step_count.distance,com.samsung.health.step_count.calorie,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.end_time,com.samsung.health.step_count.datauuid
10557,4,0,18,2026-04-11 20:27:00.000,,,2026-04-11 20:35:02.154,2026-04-11 20:35:02.154,18,1.2777778,13.49,0.58,UTC+0330,9D1LETwId9,com.sec.android.app.shealth,2026-04-11 20:28:00.000,9fc21713-343a-42d1-bda3-8f1a5eed85b1,
18090,4,0,34,2026-04-11 22:15:00.000,,,2026-04-11 22:16:12.524,2026-04-11 22:16:12.524,34,1.4444444,26.13,1.05,UTC+0330,9D1LETwId9,com.sec.android.app.shealth,2026-04-11 22:16:00.000,9c9858da-1e10-447d-aa1c-99a4875cf72e,
30734,4,0,41,2026-04-11 22:16:00.000,,,2026-04-11 22:16:56.463,2026-04-11 22:16:24.122,41,0.9494244,29.180008,1.2799997,UTC+0330,9D1LETwId9,com.sec.android.app.shealth,2026-04-11 22:17:00.000,3edcf296-6e7e-4ec2-aa53-1f329a94f6e8,
17914,4,0,28,2026-04-11 23:09:00.000,,,2026-04-11 23:09:35.767,2026-04-11 23:09:22.666,28,1.1342694,20.319998,0.9099998,UTC+0330,9D1LETwId9,com.sec.android.app.shealth,2026-04-11 23:10:00.000,f861e97b-d5c7-42b8-aeb2-11352ca6fa58,
12656,4,0,22,2026-04-11 23:16:00.000,,,2026-04-11 23:16:24.160,2026-04-11 23:16:14.080,22,1.3258086,16.779997,0.6799998,UTC+0330,9D1LETwId9,com.sec.android.app.shealth,2026-04-11 23:17:00.000,b178229f-4117-4a1d-9abc-46944e2b74ed,
5751,4,0,9,2026-04-11 23:23:00.000,,,2026-04-11 23:23:37.712,2026-04-11 23:23:37.712,9,1.1388888,6.55,0.29,UTC+0330,9D1LETwId9,com.sec.android.app.shealth,2026-04-11 23:24:00.000,5b752b07-16df-446b-90c2-5c9fcbff9278,
32788,4,0,42,2026-04-11 23:41:00.000,,,2026-04-11 23:46:38.942,2026-04-11 23:41:35.920,42,0.90246236,29.590002,1.2999995,UTC+0330,9D1LETwId9,com.sec.android.app.shealth,2026-04-11 23:42:00.000,098f1e39-52d9-4011-9c8a-b299aa02568e,
28682,4,0,48,2026-04-11 23:47:00.000,,,2026-04-11 23:50:59.975,2026-04-11 23:50:59.975,48,1.2777778,36.65,1.51,UTC+0330,9D1LETwId9,com.sec.android.app.shealth,2026-04-11 23:48:00.000,89b4fc46-b81a-4e11-8b0f-0d4a6498eb1a,
1675,4,0,3,2026-04-11 23:48:00.000,,,2026-04-11 23:50:59.991,2026-04-11 23:50:59.991,3,1.3611112,2.28,0.09,UTC+0330,9D1LETwId9,com.sec.android.app.shealth,2026-04-11 23:49:00.000,473b35ec-59a8-414d-937d-a8371dcf2e22,
11535,4,0,20,2026-04-11 23:50:00.000,,,2026-04-11 23:51:00.012,2026-04-11 23:51:00.012,20,1.3333334,15.38,0.62,UTC+0330,9D1LETwId9,com.sec.android.app.shealth,2026-04-11 23:51:00.000,f9a25203-dc87-460a-80df-c577258d8e81,
