iteration,FCM_objective
1,487.39164183735784
2,364.72908545944404
3,364.7070748837865
4,364.7025632293381
5,364.6960845327203
6,364.68546086853513
7,364.66628750174584
8,364.6253747850204
9,364.5077905301912
10,364.0162573198473
11,362.9340681648687
12,362.71463886846766
13,362.503172604893
14,362.40126693148807
15,362.3504395200375
16,362.33701433787417
17,362.33156317067994
18,362.32847595865945
19,362.32662503554593
20,362.32550802304615
21,362.32483534743733
22,362.32443153898726
23,362.32418981165574
24,362.3240454364823
25,362.3239593597873
