dataset,components,effective_components,MAE,RMSE
ML-1M,20,20,0.735717390222445,0.9281578280793885
ML-1M,40,40,0.7352326047047183,0.9276077005927744
ML-1M,60,60,0.7345158117488253,0.9268702296582045
ML-1M,90,90,0.7346833351060424,0.9269580962311358
ML-1M,120,120,0.7345518992431032,0.926859247063841
ML-1M,150,150,0.7344476292286455,0.9267289266909672
ML-1M,180,180,0.7342981322791206,0.926575965505439
ML-1M,220,220,0.7343504934256606,0.926682069167864
ML-1M,260,260,0.7345039106346459,0.9268232900785672
ML-1M,300,300,0.734532121652479,0.9268322001622366
ML-1M,350,350,0.7345370144521928,0.9268538962449674
ML-1M,400,400,0.7345674823132031,0.9268435290188302
ML-1M,500,500,0.7348809622175225,0.9271280446335696
ML-1M,650,650,0.7350335094944888,0.9273166134364049
