dataset,method,final_accuracy,std_final,AULC,mean_runtime_seconds
digitdist_0v1,TC-BKME-PMAL,0.991388888888889,0.0126959943133626,0.834030612244898,0.1403321240283548
digitdist_0v1,PMARLDS-lite,0.9913888888888888,0.0129963195169884,0.828934240362812,0.1390555041935295
digitdist_0v1,DISTMARGIN,0.9947222222222224,0.0091666666666666,0.8632709750566894,0.1375039520487189
digitdist_0v1,HILB-DENSITY,0.6413888888888889,0.1512981379370211,0.5171768707482993,0.1321047220192849
digitdist_0v1,DISTRAND,0.9619444444444444,0.0519533563359279,0.6958843537414965,0.1079815920442342
digitdist_1v7,TC-BKME-PMAL,0.971388888888889,0.0219444444444444,0.7495578231292518,0.1292947460990399
digitdist_1v7,PMARLDS-lite,0.9711111111111116,0.0225394030834453,0.7376587301587302,0.1288049060478806
digitdist_1v7,DISTMARGIN,0.9583333333333336,0.0521157306647047,0.7718877551020409,0.1287937539350241
digitdist_1v7,HILB-DENSITY,0.5597222222222222,0.1058202091600024,0.514778911564626,0.1253845619317144
digitdist_1v7,DISTRAND,0.7341666666666669,0.1386389417618279,0.5850056689342404,0.1010407740343362
digitdist_3v8,TC-BKME-PMAL,0.9225,0.0322856177130175,0.6936904761904762,0.1178122199792414
digitdist_3v8,PMARLDS-lite,0.9280555555555556,0.0312657367784016,0.6928117913832199,0.1177306860685348
digitdist_3v8,DISTMARGIN,0.9016666666666668,0.0693243405848974,0.7185600907029477,0.1167295539379119
digitdist_3v8,HILB-DENSITY,0.5819444444444444,0.1556857094387818,0.5298185941043085,0.1161517421063035
digitdist_3v8,DISTRAND,0.5944444444444446,0.1473008175951428,0.5481632653061225,0.092602467900142
digitdist_4v9,TC-BKME-PMAL,0.9691666666666668,0.0200866179886565,0.764733560090703,0.1389901119843125
digitdist_4v9,PMARLDS-lite,0.9675000000000002,0.0214465312743973,0.7624659863945578,0.1373531280923634
digitdist_4v9,DISTMARGIN,0.9486111111111116,0.0482126526603049,0.7943990929705217,0.136320187933743
digitdist_4v9,HILB-DENSITY,0.703888888888889,0.1617907122423943,0.5589285714285714,0.1357144539337605
digitdist_4v9,DISTRAND,0.7666666666666666,0.1555307519907713,0.6051700680272109,0.1084672142192721
digitdist_5v6,TC-BKME-PMAL,0.9655555555555556,0.0198839224090814,0.747596371882086,0.132867035921663
digitdist_5v6,PMARLDS-lite,0.965277777777778,0.020647317704609,0.7449263038548753,0.1339278598316013
digitdist_5v6,DISTMARGIN,0.9477777777777776,0.0434400395607213,0.7746882086167801,0.1325676677376032
digitdist_5v6,HILB-DENSITY,0.6697222222222221,0.1670895099070784,0.5607199546485261,0.1313063936773687
digitdist_5v6,DISTRAND,0.7247222222222223,0.1727967567282513,0.5907482993197279,0.104849725710228
gaussdist_equal,TC-BKME-PMAL,0.9858333333333336,0.0153382641025316,0.928452380952381,0.1144717156514525
gaussdist_equal,PMARLDS-lite,0.9855555555555556,0.0154560308258261,0.9261054421768709,0.1148055577464401
gaussdist_equal,DISTMARGIN,0.985277777777778,0.0142751835083662,0.9336734693877552,0.1144237924646586
gaussdist_equal,HILB-DENSITY,0.657222222222222,0.1462610130917234,0.5276360544217688,0.1058582200389355
gaussdist_equal,DISTRAND,0.9805555555555558,0.0166666666666666,0.885453514739229,0.0885415001772344
gaussdist_variable,TC-BKME-PMAL,0.9825000000000004,0.0175264350603859,0.9278571428571432,0.1235404240619391
gaussdist_variable,PMARLDS-lite,0.9819444444444448,0.019295061096458,0.9268140589569164,0.120192954307422
gaussdist_variable,DISTMARGIN,0.9833333333333336,0.0154660121189722,0.9298809523809524,0.1199926076922565
gaussdist_variable,HILB-DENSITY,0.8213888888888888,0.1457475938432985,0.5701643990929706,0.1128055779263377
gaussdist_variable,DISTRAND,0.975,0.022566773346211,0.8906575963718822,0.0928766417503356
