dataset,budget,method,mean_accuracy,std_accuracy
gaussdist_equal,2,TC-BKME-PMAL,0.8525000000000001,0.09721785704486119
gaussdist_equal,3,TC-BKME-PMAL,0.5,0.0
gaussdist_equal,4,TC-BKME-PMAL,0.9077777777777777,0.11155328682951988
gaussdist_equal,5,TC-BKME-PMAL,0.5,0.0
gaussdist_equal,6,TC-BKME-PMAL,0.9363888888888888,0.09546386104402074
gaussdist_equal,7,TC-BKME-PMAL,0.5058333333333335,0.01906170940477529
gaussdist_equal,8,TC-BKME-PMAL,0.9577777777777778,0.03556857400557582
gaussdist_equal,9,TC-BKME-PMAL,0.6680555555555556,0.13950557535652672
gaussdist_equal,10,TC-BKME-PMAL,0.9633333333333337,0.03376571422005055
gaussdist_equal,11,TC-BKME-PMAL,0.8219444444444446,0.11082219381502656
gaussdist_equal,12,TC-BKME-PMAL,0.9572222222222224,0.06204090645754683
gaussdist_equal,13,TC-BKME-PMAL,0.8947222222222223,0.07577225867812826
gaussdist_equal,14,TC-BKME-PMAL,0.9630555555555557,0.05717163351708909
gaussdist_equal,15,TC-BKME-PMAL,0.9313888888888888,0.054603650445508765
gaussdist_equal,16,TC-BKME-PMAL,0.9463888888888892,0.08258973795099979
gaussdist_equal,17,TC-BKME-PMAL,0.9375000000000001,0.07684208996457254
gaussdist_equal,18,TC-BKME-PMAL,0.9505555555555556,0.07233751481342665
gaussdist_equal,19,TC-BKME-PMAL,0.9661111111111108,0.02044263276997122
gaussdist_equal,20,TC-BKME-PMAL,0.9613888888888887,0.043858111571490235
gaussdist_equal,21,TC-BKME-PMAL,0.9652777777777776,0.02579746614028712
gaussdist_equal,22,TC-BKME-PMAL,0.9677777777777777,0.03035794687180945
gaussdist_equal,23,TC-BKME-PMAL,0.970555555555556,0.023674750836291683
gaussdist_equal,24,TC-BKME-PMAL,0.956388888888889,0.055556249995659786
gaussdist_equal,25,TC-BKME-PMAL,0.9750000000000004,0.02022252747022367
gaussdist_equal,26,TC-BKME-PMAL,0.9713888888888892,0.029970407215151002
gaussdist_equal,27,TC-BKME-PMAL,0.9766666666666669,0.02331348362039699
gaussdist_equal,28,TC-BKME-PMAL,0.9783333333333336,0.022764223609497647
gaussdist_equal,29,TC-BKME-PMAL,0.9794444444444446,0.01929306150465038
gaussdist_equal,30,TC-BKME-PMAL,0.9802777777777778,0.018021335092565108
gaussdist_equal,31,TC-BKME-PMAL,0.981111111111111,0.017734321888347088
gaussdist_equal,32,TC-BKME-PMAL,0.978888888888889,0.018265869136415105
gaussdist_equal,33,TC-BKME-PMAL,0.9788888888888888,0.01648980231072871
gaussdist_equal,34,TC-BKME-PMAL,0.9819444444444448,0.015277777777777776
gaussdist_equal,35,TC-BKME-PMAL,0.9777777777777777,0.01712337223046939
gaussdist_equal,36,TC-BKME-PMAL,0.9825000000000003,0.01638888888888889
gaussdist_equal,37,TC-BKME-PMAL,0.9791666666666665,0.015528249843748539
gaussdist_equal,38,TC-BKME-PMAL,0.9836111111111117,0.014617024574358744
gaussdist_equal,39,TC-BKME-PMAL,0.9794444444444446,0.01601503922822176
gaussdist_equal,40,TC-BKME-PMAL,0.9841666666666672,0.013611111111111112
gaussdist_equal,41,TC-BKME-PMAL,0.9811111111111113,0.016611018208584506
gaussdist_equal,42,TC-BKME-PMAL,0.9841666666666672,0.013611111111111103
gaussdist_equal,43,TC-BKME-PMAL,0.9822222222222223,0.014444444444444444
gaussdist_equal,44,TC-BKME-PMAL,0.9850000000000003,0.014917468424552839
gaussdist_equal,45,TC-BKME-PMAL,0.9850000000000001,0.013275336828165023
gaussdist_equal,46,TC-BKME-PMAL,0.9863888888888891,0.013746492257398471
gaussdist_equal,47,TC-BKME-PMAL,0.9850000000000001,0.013562839573037447
gaussdist_equal,48,TC-BKME-PMAL,0.9830555555555559,0.014511064318454423
gaussdist_equal,49,TC-BKME-PMAL,0.9858333333333337,0.014024339512627054
gaussdist_equal,50,TC-BKME-PMAL,0.9858333333333336,0.015338264102531696
gaussdist_equal,2,PMARLDS-lite,0.8483333333333332,0.09633884387673632
gaussdist_equal,3,PMARLDS-lite,0.5,0.0
gaussdist_equal,4,PMARLDS-lite,0.9000000000000001,0.11439589045541113
gaussdist_equal,5,PMARLDS-lite,0.5,0.0
gaussdist_equal,6,PMARLDS-lite,0.9180555555555556,0.09363418772601764
gaussdist_equal,7,PMARLDS-lite,0.5052777777777778,0.02149684157105096
gaussdist_equal,8,PMARLDS-lite,0.9516666666666667,0.05001851509043279
gaussdist_equal,9,PMARLDS-lite,0.6036111111111111,0.10460869177588315
gaussdist_equal,10,PMARLDS-lite,0.963611111111111,0.026772071775648866
gaussdist_equal,11,PMARLDS-lite,0.7822222222222222,0.12128555225246405
gaussdist_equal,12,PMARLDS-lite,0.9691666666666668,0.026248162781092255
gaussdist_equal,13,PMARLDS-lite,0.8544444444444443,0.09276447010348438
gaussdist_equal,14,PMARLDS-lite,0.9586111111111114,0.07013490087672226
gaussdist_equal,15,PMARLDS-lite,0.9091666666666667,0.07613391791304401
gaussdist_equal,16,PMARLDS-lite,0.9675000000000002,0.05065999590589389
gaussdist_equal,17,PMARLDS-lite,0.9466666666666668,0.045504714177167165
gaussdist_equal,18,PMARLDS-lite,0.9633333333333334,0.05246692079565732
gaussdist_equal,19,PMARLDS-lite,0.9655555555555556,0.030332519321597123
gaussdist_equal,20,PMARLDS-lite,0.9683333333333333,0.039287638240527
gaussdist_equal,21,PMARLDS-lite,0.9747222222222223,0.023682897407826396
gaussdist_equal,22,PMARLDS-lite,0.9663888888888889,0.036860807584784015
gaussdist_equal,23,PMARLDS-lite,0.9719444444444447,0.029198395440439808
gaussdist_equal,24,PMARLDS-lite,0.9766666666666667,0.01788164104381232
gaussdist_equal,25,PMARLDS-lite,0.9802777777777778,0.0180213350925651
gaussdist_equal,26,PMARLDS-lite,0.9769444444444447,0.018552977199440605
gaussdist_equal,27,PMARLDS-lite,0.977777777777778,0.02133651596630169
gaussdist_equal,28,PMARLDS-lite,0.9758333333333333,0.016853123680130574
gaussdist_equal,29,PMARLDS-lite,0.9752777777777777,0.028906244786452664
gaussdist_equal,30,PMARLDS-lite,0.9780555555555556,0.019462293395114846
gaussdist_equal,31,PMARLDS-lite,0.9783333333333334,0.021184084405486258
gaussdist_equal,32,PMARLDS-lite,0.9811111111111112,0.01773432188834708
gaussdist_equal,33,PMARLDS-lite,0.978888888888889,0.0194920053253876
gaussdist_equal,34,PMARLDS-lite,0.9819444444444444,0.017623024361735448
gaussdist_equal,35,PMARLDS-lite,0.9811111111111114,0.018584142981864143
gaussdist_equal,36,PMARLDS-lite,0.9825,0.015911114990688542
gaussdist_equal,37,PMARLDS-lite,0.9813888888888889,0.018132315467075104
gaussdist_equal,38,PMARLDS-lite,0.9825,0.01685312368013057
gaussdist_equal,39,PMARLDS-lite,0.9808333333333334,0.01797846791698267
gaussdist_equal,40,PMARLDS-lite,0.9833333333333334,0.01619708859679251
gaussdist_equal,41,PMARLDS-lite,0.981666666666667,0.01851759256944329
gaussdist_equal,42,PMARLDS-lite,0.9844444444444449,0.014603821586772129
gaussdist_equal,43,PMARLDS-lite,0.9816666666666669,0.016768209191985073
gaussdist_equal,44,PMARLDS-lite,0.9863888888888891,0.013746492257398464
gaussdist_equal,45,PMARLDS-lite,0.9822222222222224,0.01644294287438749
gaussdist_equal,46,PMARLDS-lite,0.9861111111111116,0.01521451548625461
gaussdist_equal,47,PMARLDS-lite,0.9833333333333337,0.015466012118972288
gaussdist_equal,48,PMARLDS-lite,0.9836111111111113,0.015135703028694757
gaussdist_equal,49,PMARLDS-lite,0.982777777777778,0.01747131688168487
gaussdist_equal,50,PMARLDS-lite,0.9855555555555557,0.015456030825826176
gaussdist_equal,2,DISTMARGIN,0.8599999999999998,0.0997233828468517
gaussdist_equal,3,DISTMARGIN,0.5,0.0
gaussdist_equal,4,DISTMARGIN,0.9208333333333333,0.07308512287179371
gaussdist_equal,5,DISTMARGIN,0.5,0.0
gaussdist_equal,6,DISTMARGIN,0.9405555555555556,0.044707554530512686
gaussdist_equal,7,DISTMARGIN,0.5169444444444445,0.028094033020519223
gaussdist_equal,8,DISTMARGIN,0.9569444444444444,0.03170197836253703
gaussdist_equal,9,DISTMARGIN,0.7305555555555557,0.12786832540537668
gaussdist_equal,10,DISTMARGIN,0.965277777777778,0.02441443865450966
gaussdist_equal,11,DISTMARGIN,0.8666666666666667,0.08970975145530634
gaussdist_equal,12,DISTMARGIN,0.9661111111111111,0.025633937766798523
gaussdist_equal,13,DISTMARGIN,0.9158333333333334,0.04593087264279218
gaussdist_equal,14,DISTMARGIN,0.968888888888889,0.02366171048782984
gaussdist_equal,15,DISTMARGIN,0.9530555555555559,0.03028796974231043
gaussdist_equal,16,DISTMARGIN,0.9549999999999998,0.0644635986860457
gaussdist_equal,17,DISTMARGIN,0.9591666666666668,0.03361111111111111
gaussdist_equal,18,DISTMARGIN,0.9525000000000001,0.06149437894617125
gaussdist_equal,19,DISTMARGIN,0.9672222222222225,0.028021156028707764
gaussdist_equal,20,DISTMARGIN,0.9630555555555556,0.03681053425445989
gaussdist_equal,21,DISTMARGIN,0.9711111111111111,0.023047187236323947
gaussdist_equal,22,DISTMARGIN,0.9602777777777779,0.04015882818859983
gaussdist_equal,23,DISTMARGIN,0.9738888888888891,0.031011746082117476
gaussdist_equal,24,DISTMARGIN,0.968888888888889,0.033282368446111474
gaussdist_equal,25,DISTMARGIN,0.970277777777778,0.031181715519131556
