dataset,budget,method,mean_accuracy,std_accuracy
gaussdist_variable,2,TC-BKME-PMAL,0.8425000000000001,0.11036590377489501
gaussdist_variable,3,TC-BKME-PMAL,0.5,0.0
gaussdist_variable,4,TC-BKME-PMAL,0.9044444444444444,0.0851940414075892
gaussdist_variable,5,TC-BKME-PMAL,0.5,0.0
gaussdist_variable,6,TC-BKME-PMAL,0.9408333333333334,0.05498386407521735
gaussdist_variable,7,TC-BKME-PMAL,0.5041666666666668,0.019885862587883812
gaussdist_variable,8,TC-BKME-PMAL,0.9613888888888888,0.03359733418290106
gaussdist_variable,9,TC-BKME-PMAL,0.593888888888889,0.10594081739406891
gaussdist_variable,10,TC-BKME-PMAL,0.9666666666666669,0.03310104246614719
gaussdist_variable,11,TC-BKME-PMAL,0.7788888888888889,0.13468183816262752
gaussdist_variable,12,TC-BKME-PMAL,0.9694444444444444,0.03130396574884625
gaussdist_variable,13,TC-BKME-PMAL,0.8800000000000004,0.09047030752246772
gaussdist_variable,14,TC-BKME-PMAL,0.9586111111111112,0.07372841805999657
gaussdist_variable,15,TC-BKME-PMAL,0.94,0.04635144863025812
gaussdist_variable,16,TC-BKME-PMAL,0.9702777777777777,0.03179433329430939
gaussdist_variable,17,TC-BKME-PMAL,0.9591666666666668,0.03902851917049859
gaussdist_variable,18,TC-BKME-PMAL,0.9736111111111114,0.02441443865450965
gaussdist_variable,19,TC-BKME-PMAL,0.9719444444444447,0.025381350692249675
gaussdist_variable,20,TC-BKME-PMAL,0.9775000000000003,0.02131661671438853
gaussdist_variable,21,TC-BKME-PMAL,0.9722222222222224,0.029658550700086973
gaussdist_variable,22,TC-BKME-PMAL,0.9752777777777779,0.026540500148794263
gaussdist_variable,23,TC-BKME-PMAL,0.9736111111111114,0.024096321629024278
gaussdist_variable,24,TC-BKME-PMAL,0.9744444444444444,0.02193565224711072
gaussdist_variable,25,TC-BKME-PMAL,0.9786111111111113,0.02045206681577775
gaussdist_variable,26,TC-BKME-PMAL,0.9750000000000003,0.022566773346211003
gaussdist_variable,27,TC-BKME-PMAL,0.9800000000000001,0.019277057303219425
gaussdist_variable,28,TC-BKME-PMAL,0.9791666666666669,0.017402727897418983
gaussdist_variable,29,TC-BKME-PMAL,0.9786111111111114,0.0206398422091777
gaussdist_variable,30,TC-BKME-PMAL,0.9813888888888891,0.018759771116558938
gaussdist_variable,31,TC-BKME-PMAL,0.9794444444444447,0.018475876831462103
gaussdist_variable,32,TC-BKME-PMAL,0.9777777777777779,0.025000000000000012
gaussdist_variable,33,TC-BKME-PMAL,0.979166666666667,0.01889093126213257
gaussdist_variable,34,TC-BKME-PMAL,0.9780555555555556,0.020429417786885444
gaussdist_variable,35,TC-BKME-PMAL,0.9794444444444446,0.016722129936991577
gaussdist_variable,36,TC-BKME-PMAL,0.9811111111111113,0.02200589146704263
gaussdist_variable,37,TC-BKME-PMAL,0.9783333333333336,0.021545243810739242
gaussdist_variable,38,TC-BKME-PMAL,0.9791666666666667,0.019690898442719217
gaussdist_variable,39,TC-BKME-PMAL,0.978888888888889,0.020831481399169644
gaussdist_variable,40,TC-BKME-PMAL,0.9788888888888891,0.020831481399169637
gaussdist_variable,41,TC-BKME-PMAL,0.9794444444444446,0.02226384989945988
gaussdist_variable,42,TC-BKME-PMAL,0.9797222222222223,0.018259531588383112
gaussdist_variable,43,TC-BKME-PMAL,0.9797222222222224,0.022084643567001072
gaussdist_variable,44,TC-BKME-PMAL,0.9811111111111113,0.019196836159078887
gaussdist_variable,45,TC-BKME-PMAL,0.981666666666667,0.01953155092360772
gaussdist_variable,46,TC-BKME-PMAL,0.9822222222222224,0.018010627863830366
gaussdist_variable,47,TC-BKME-PMAL,0.9813888888888893,0.018343852201221176
gaussdist_variable,48,TC-BKME-PMAL,0.982777777777778,0.017249082995844465
gaussdist_variable,49,TC-BKME-PMAL,0.9825000000000003,0.01752643506038595
gaussdist_variable,50,TC-BKME-PMAL,0.9825000000000003,0.01752643506038595
gaussdist_variable,2,PMARLDS-lite,0.8186111111111106,0.12169742127785209
gaussdist_variable,3,PMARLDS-lite,0.5,0.0
gaussdist_variable,4,PMARLDS-lite,0.8697222222222224,0.1332433145197069
gaussdist_variable,5,PMARLDS-lite,0.5,0.0
gaussdist_variable,6,PMARLDS-lite,0.9147222222222223,0.10160783057701754
gaussdist_variable,7,PMARLDS-lite,0.5063888888888889,0.027806929148001466
gaussdist_variable,8,PMARLDS-lite,0.9563888888888887,0.038889880939727416
gaussdist_variable,9,PMARLDS-lite,0.6158333333333333,0.10924156322482056
gaussdist_variable,10,PMARLDS-lite,0.9638888888888891,0.034133904798456974
gaussdist_variable,11,PMARLDS-lite,0.7877777777777776,0.11523727534799504
gaussdist_variable,12,PMARLDS-lite,0.9697222222222223,0.028691903189610398
gaussdist_variable,13,PMARLDS-lite,0.9086111111111108,0.06770544865649869
gaussdist_variable,14,PMARLDS-lite,0.9702777777777781,0.027075853668016677
gaussdist_variable,15,PMARLDS-lite,0.9302777777777779,0.057967769887058894
gaussdist_variable,16,PMARLDS-lite,0.9719444444444447,0.026569556978329387
gaussdist_variable,17,PMARLDS-lite,0.9661111111111111,0.031812529560489806
gaussdist_variable,18,PMARLDS-lite,0.9583333333333336,0.044008276438207955
gaussdist_variable,19,PMARLDS-lite,0.972777777777778,0.02663771576608191
gaussdist_variable,20,PMARLDS-lite,0.9686111111111111,0.02434480957178388
gaussdist_variable,21,PMARLDS-lite,0.9744444444444447,0.02490103870112776
gaussdist_variable,22,PMARLDS-lite,0.9705555555555556,0.03282482499271655
gaussdist_variable,23,PMARLDS-lite,0.976666666666667,0.020868488856658835
gaussdist_variable,24,PMARLDS-lite,0.9733333333333334,0.02337958379166758
gaussdist_variable,25,PMARLDS-lite,0.9766666666666669,0.022298480267099432
gaussdist_variable,26,PMARLDS-lite,0.979166666666667,0.020647317704609036
gaussdist_variable,27,PMARLDS-lite,0.9758333333333334,0.02337463276267937
gaussdist_variable,28,PMARLDS-lite,0.976944444444445,0.020527383096491474
gaussdist_variable,29,PMARLDS-lite,0.9780555555555557,0.021171332235879144
gaussdist_variable,30,PMARLDS-lite,0.9775000000000005,0.020766559657295198
gaussdist_variable,31,PMARLDS-lite,0.9755555555555558,0.026287818142935522
gaussdist_variable,32,PMARLDS-lite,0.9777777777777782,0.018839805508681307
gaussdist_variable,33,PMARLDS-lite,0.9780555555555559,0.019659524754689444
gaussdist_variable,34,PMARLDS-lite,0.9802777777777785,0.017367221147045094
gaussdist_variable,35,PMARLDS-lite,0.9797222222222224,0.021554195260629284
gaussdist_variable,36,PMARLDS-lite,0.9786111111111114,0.021554195260629273
gaussdist_variable,37,PMARLDS-lite,0.9788888888888891,0.02119864892037657
gaussdist_variable,38,PMARLDS-lite,0.9786111111111118,0.021374454003567373
gaussdist_variable,39,PMARLDS-lite,0.9802777777777781,0.019061709404775293
gaussdist_variable,40,PMARLDS-lite,0.9813888888888893,0.018552977199440608
gaussdist_variable,41,PMARLDS-lite,0.9813888888888891,0.01936690890394818
gaussdist_variable,42,PMARLDS-lite,0.9819444444444447,0.017840600803701565
gaussdist_variable,43,PMARLDS-lite,0.9811111111111114,0.019594657876164878
gaussdist_variable,44,PMARLDS-lite,0.9808333333333336,0.0200096427371689
gaussdist_variable,45,PMARLDS-lite,0.9819444444444447,0.01762302436173544
gaussdist_variable,46,PMARLDS-lite,0.9811111111111114,0.018994801108087503
gaussdist_variable,47,PMARLDS-lite,0.9811111111111113,0.018164203026968688
gaussdist_variable,48,PMARLDS-lite,0.9825000000000002,0.017526435060385946
gaussdist_variable,49,PMARLDS-lite,0.981666666666667,0.018724777273725242
gaussdist_variable,50,PMARLDS-lite,0.9819444444444447,0.019295061096458056
gaussdist_variable,2,DISTMARGIN,0.8352777777777776,0.11228580432027842
gaussdist_variable,3,DISTMARGIN,0.5,0.0
gaussdist_variable,4,DISTMARGIN,0.8797222222222223,0.10984030214501707
gaussdist_variable,5,DISTMARGIN,0.5,0.0
gaussdist_variable,6,DISTMARGIN,0.9222222222222222,0.07586944602082035
gaussdist_variable,7,DISTMARGIN,0.5447222222222222,0.05605951973649454
gaussdist_variable,8,DISTMARGIN,0.9455555555555558,0.07156970184527962
gaussdist_variable,9,DISTMARGIN,0.7502777777777778,0.1093432273075232
gaussdist_variable,10,DISTMARGIN,0.9416666666666668,0.09275448809479998
gaussdist_variable,11,DISTMARGIN,0.8733333333333333,0.06652995241168622
gaussdist_variable,12,DISTMARGIN,0.9586111111111112,0.041988571343364256
gaussdist_variable,13,DISTMARGIN,0.9205555555555556,0.05084471639398912
gaussdist_variable,14,DISTMARGIN,0.9502777777777779,0.0596472397506921
gaussdist_variable,15,DISTMARGIN,0.9569444444444444,0.032661044489735704
gaussdist_variable,16,DISTMARGIN,0.9538888888888889,0.06012076324232341
gaussdist_variable,17,DISTMARGIN,0.96,0.03340732528527314
gaussdist_variable,18,DISTMARGIN,0.961388888888889,0.04094655504887279
gaussdist_variable,19,DISTMARGIN,0.9616666666666666,0.029989710169479527
gaussdist_variable,20,DISTMARGIN,0.9508333333333334,0.04796877199199237
gaussdist_variable,21,DISTMARGIN,0.9666666666666669,0.029265704869035392
gaussdist_variable,22,DISTMARGIN,0.9647222222222225,0.03070795328675827
gaussdist_variable,23,DISTMARGIN,0.9719444444444446,0.023486599804364412
gaussdist_variable,24,DISTMARGIN,0.9677777777777778,0.02656229575084872
gaussdist_variable,25,DISTMARGIN,0.9752777777777781,0.018899098547971168
gaussdist_variable,26,DISTMARGIN,0.9730555555555556,0.02104705193279402
gaussdist_variable,27,DISTMARGIN,0.972777777777778,0.030423959044651266
gaussdist_variable,28,DISTMARGIN,0.971111111111111,0.026620330112690976
gaussdist_variable,29,DISTMARGIN,0.973055555555556,0.02176792577607229
gaussdist_variable,30,DISTMARGIN,0.9750000000000001,0.026931554763424046
gaussdist_variable,31,DISTMARGIN,0.9772222222222225,0.02129307544081867
gaussdist_variable,32,DISTMARGIN,0.9775,0.020579940491101623
gaussdist_variable,33,DISTMARGIN,0.973888888888889,0.025555555555555564
gaussdist_variable,34,DISTMARGIN,0.9780555555555557,0.023909874503339243
gaussdist_variable,35,DISTMARGIN,0.9752777777777779,0.026540500148794256
gaussdist_variable,36,DISTMARGIN,0.9744444444444447,0.02427339141661499
gaussdist_variable,37,DISTMARGIN,0.9780555555555556,0.024546818455683767
gaussdist_variable,38,DISTMARGIN,0.9766666666666667,0.01953155092360773
gaussdist_variable,39,DISTMARGIN,0.9805555555555557,0.019043485001114014
gaussdist_variable,40,DISTMARGIN,0.9788888888888893,0.01949200532538759
gaussdist_variable,41,DISTMARGIN,0.9794444444444445,0.02101586702153082
gaussdist_variable,42,DISTMARGIN,0.9813888888888891,0.01834385220122118
gaussdist_variable,43,DISTMARGIN,0.9805555555555558,0.019641855032959666
gaussdist_variable,44,DISTMARGIN,0.9813888888888893,0.019166666666666676
gaussdist_variable,45,DISTMARGIN,0.9830555555555557,0.015033399030816453
gaussdist_variable,46,DISTMARGIN,0.9802777777777781,0.019462293395114846
gaussdist_variable,47,DISTMARGIN,0.9822222222222223,0.014709113660970807
gaussdist_variable,48,DISTMARGIN,0.9813888888888893,0.018759771116558945
gaussdist_variable,49,DISTMARGIN,0.9822222222222224,0.015475986974649024
gaussdist_variable,50,DISTMARGIN,0.9833333333333336,0.015466012118972286
gaussdist_variable,2,HILB-DENSITY,0.8180555555555555,0.11066751728811867
gaussdist_variable,3,HILB-DENSITY,0.5,0.0
gaussdist_variable,4,HILB-DENSITY,0.5044444444444445,0.031111111111111086
gaussdist_variable,5,HILB-DENSITY,0.5,0.0
gaussdist_variable,6,HILB-DENSITY,0.5,0.0
gaussdist_variable,7,HILB-DENSITY,0.5,0.0
gaussdist_variable,8,HILB-DENSITY,0.5,0.0
gaussdist_variable,9,HILB-DENSITY,0.5,0.0
gaussdist_variable,10,HILB-DENSITY,0.5,0.0
gaussdist_variable,11,HILB-DENSITY,0.5,0.0
gaussdist_variable,12,HILB-DENSITY,0.5,0.0
gaussdist_variable,13,HILB-DENSITY,0.5,0.0
gaussdist_variable,14,HILB-DENSITY,0.5,0.0
gaussdist_variable,15,HILB-DENSITY,0.5,0.0
gaussdist_variable,16,HILB-DENSITY,0.5,0.0
gaussdist_variable,17,HILB-DENSITY,0.5,0.0
gaussdist_variable,18,HILB-DENSITY,0.5,0.0
gaussdist_variable,19,HILB-DENSITY,0.5013888888888889,0.009722222222222207
gaussdist_variable,20,HILB-DENSITY,0.5002777777777778,0.0019444444444444366
gaussdist_variable,21,HILB-DENSITY,0.5002777777777778,0.0019444444444444366
gaussdist_variable,22,HILB-DENSITY,0.5002777777777778,0.0019444444444444366
gaussdist_variable,23,HILB-DENSITY,0.5022222222222222,0.013709958532503392
gaussdist_variable,24,HILB-DENSITY,0.5036111111111111,0.025277777777777802
gaussdist_variable,25,HILB-DENSITY,0.5036111111111111,0.025277777777777802
gaussdist_variable,26,HILB-DENSITY,0.5044444444444445,0.025525344461466964
gaussdist_variable,27,HILB-DENSITY,0.508888888888889,0.036930866343600585
gaussdist_variable,28,HILB-DENSITY,0.5113888888888889,0.038858122750638706
gaussdist_variable,29,HILB-DENSITY,0.5119444444444445,0.03568228283955466
gaussdist_variable,30,HILB-DENSITY,0.5175,0.04736986722577609
gaussdist_variable,31,HILB-DENSITY,0.5219444444444444,0.055838860975683656
