dataset,budget,method,mean_accuracy,std_accuracy
20newsdist,2,TC-BKME-PMAL,0.5427777777777779,0.055313360964911254
20newsdist,3,TC-BKME-PMAL,0.5,0.0
20newsdist,4,TC-BKME-PMAL,0.5234444444444446,0.04987997940736353
20newsdist,5,TC-BKME-PMAL,0.5,0.0
20newsdist,6,TC-BKME-PMAL,0.512,0.04335270222400744
20newsdist,7,TC-BKME-PMAL,0.5,0.0
20newsdist,8,TC-BKME-PMAL,0.5082222222222222,0.04144369972521252
20newsdist,9,TC-BKME-PMAL,0.5,0.0
20newsdist,10,TC-BKME-PMAL,0.5111111111111112,0.03785938897200183
20newsdist,11,TC-BKME-PMAL,0.5,0.0
20newsdist,12,TC-BKME-PMAL,0.5227777777777778,0.05107788775276392
20newsdist,13,TC-BKME-PMAL,0.5,0.0
20newsdist,14,TC-BKME-PMAL,0.5232222222222223,0.053387588144635595
20newsdist,15,TC-BKME-PMAL,0.5,0.0
20newsdist,16,TC-BKME-PMAL,0.527888888888889,0.06141831873751685
20newsdist,17,TC-BKME-PMAL,0.5,0.0
20newsdist,18,TC-BKME-PMAL,0.5322222222222222,0.06823163163486243
20newsdist,19,TC-BKME-PMAL,0.5,0.0
20newsdist,20,TC-BKME-PMAL,0.5434444444444444,0.0769374445271636
20newsdist,21,TC-BKME-PMAL,0.5,0.0
20newsdist,22,TC-BKME-PMAL,0.5654444444444444,0.09637433447593302
20newsdist,23,TC-BKME-PMAL,0.5,0.0
20newsdist,24,TC-BKME-PMAL,0.5725555555555555,0.10111971880332836
20newsdist,25,TC-BKME-PMAL,0.5,0.0
20newsdist,26,TC-BKME-PMAL,0.592111111111111,0.10079370203723231
20newsdist,27,TC-BKME-PMAL,0.5,0.0
20newsdist,28,TC-BKME-PMAL,0.5966666666666667,0.10497501172383715
20newsdist,29,TC-BKME-PMAL,0.5,0.0
20newsdist,30,TC-BKME-PMAL,0.6242222222222221,0.10672891702062315
20newsdist,31,TC-BKME-PMAL,0.5,0.0
20newsdist,32,TC-BKME-PMAL,0.6184444444444442,0.10568086129685188
20newsdist,33,TC-BKME-PMAL,0.5001111111111112,0.0007777777777777751
20newsdist,34,TC-BKME-PMAL,0.6228888888888888,0.10597949953169081
20newsdist,35,TC-BKME-PMAL,0.5,0.0
20newsdist,36,TC-BKME-PMAL,0.6474444444444444,0.0999766022009866
20newsdist,37,TC-BKME-PMAL,0.5002222222222222,0.00155555555555555
