dataset,repeat,method,final_accuracy,AULC,runtime_seconds
20newsdist,0,TC-BKME-PMAL,0.7166666666666667,0.5705215419501133,0.15740940067917109
20newsdist,0,TC-noReliability,0.7277777777777777,0.56281179138322,0.16047670133411884
20newsdist,0,TC-noDensity,0.6777777777777778,0.5555555555555556,0.15348299965262413
20newsdist,0,PMARLDS-lite,0.7,0.5702947845804989,0.15703450050204992
20newsdist,0,DISTMARGIN,0.7333333333333333,0.5790249433106577,0.1679731016047299
20newsdist,0,HILB-DENSITY,0.5,0.5061224489795918,0.15492699900642037
20newsdist,0,DISTRAND,0.5,0.508843537414966,0.10644790297374129
20newsdist,1,TC-BKME-PMAL,0.5,0.5471655328798186,0.16539900237694383
20newsdist,1,TC-noReliability,0.6888888888888889,0.5513605442176871,0.17340040020644665
20newsdist,1,TC-noDensity,0.6722222222222223,0.5507936507936507,0.16686780145391822
20newsdist,1,PMARLDS-lite,0.6333333333333333,0.5324263038548753,0.17256939969956875
20newsdist,1,DISTMARGIN,0.6944444444444444,0.5753968253968254,0.17472679959610105
20newsdist,1,HILB-DENSITY,0.5,0.500453514739229,0.16490080067887902
20newsdist,1,DISTRAND,0.5,0.5200680272108844,0.11228389944881201
20newsdist,2,TC-BKME-PMAL,0.8055555555555556,0.5727891156462585,0.1573735005222261
20newsdist,2,TC-noReliability,0.7111111111111111,0.5630385487528345,0.1563264997676015
20newsdist,2,TC-noDensity,0.8166666666666667,0.6255102040816326,0.1518271998502314
20newsdist,2,PMARLDS-lite,0.7944444444444444,0.6113378684807256,0.14826689986512065
20newsdist,2,DISTMARGIN,0.7722222222222223,0.6259637188208617,0.15352029912173748
20newsdist,2,HILB-DENSITY,0.5,0.5011337868480726,0.14467580011114478
20newsdist,2,DISTRAND,0.5,0.5761904761904763,0.10292889969423413
20newsdist,3,TC-BKME-PMAL,0.7222222222222222,0.5826530612244898,0.15927389962598681
20newsdist,3,TC-noReliability,0.7166666666666667,0.5607709750566894,0.15676639834418893
20newsdist,3,TC-noDensity,0.7277777777777777,0.58718820861678,0.16453299950808287
20newsdist,3,PMARLDS-lite,0.7277777777777777,0.5968253968253968,0.1594833000563085
20newsdist,3,DISTMARGIN,0.7166666666666667,0.5638321995464852,0.15052800253033638
20newsdist,3,HILB-DENSITY,0.5,0.500453514739229,0.14265110017731786
20newsdist,3,DISTRAND,0.5,0.5017006802721089,0.10328559810295701
20newsdist,4,TC-BKME-PMAL,0.7444444444444445,0.5705215419501134,0.1595839005894959
20newsdist,4,TC-noReliability,0.5,0.555328798185941,0.1585749974474311
20newsdist,4,TC-noDensity,0.7055555555555556,0.5764172335600908,0.16082779970020056
20newsdist,4,PMARLDS-lite,0.7333333333333333,0.566780045351474,0.16128130070865154
20newsdist,4,DISTMARGIN,0.7055555555555556,0.5477324263038549,0.1520206006243825
20newsdist,4,HILB-DENSITY,0.5,0.507482993197279,0.1484067994169891
20newsdist,4,DISTRAND,0.6888888888888889,0.5058956916099774,0.10269649839028716
20newsdist,5,TC-BKME-PMAL,0.75,0.557142857142857,0.1607285006903112
20newsdist,5,TC-noReliability,0.75,0.5117913832199547,0.15261409850791097
20newsdist,5,TC-noDensity,0.5,0.5639455782312925,0.148292301222682
20newsdist,5,PMARLDS-lite,0.5,0.5413832199546486,0.1554769012145698
20newsdist,5,DISTMARGIN,0.5,0.5643990929705215,0.15181960025802255
20newsdist,5,HILB-DENSITY,0.5,0.49478458049886626,0.14913389971479774
20newsdist,5,DISTRAND,0.5,0.5099773242630385,0.10316120041534305
20newsdist,6,TC-BKME-PMAL,0.7388888888888889,0.5543083900226757,0.14959819987416267
20newsdist,6,TC-noReliability,0.7611111111111111,0.5814058956916099,0.1597859999164939
20newsdist,6,TC-noDensity,0.5,0.5901360544217688,0.14777790242806077
20newsdist,6,PMARLDS-lite,0.75,0.581859410430839,0.14715940225869417
20newsdist,6,DISTMARGIN,0.7277777777777777,0.573469387755102,0.15163940098136663
20newsdist,6,HILB-DENSITY,0.5,0.5019274376417233,0.13873670110478997
20newsdist,6,DISTRAND,0.5,0.5112244897959183,0.10109940078109503
20newsdist,7,TC-BKME-PMAL,0.5,0.5031746031746032,0.1436111000366509
