dataset,budget,method,mean_accuracy,std_accuracy
digitdist_0v1,2,TC-BKME-PMAL,0.6866666666666668,0.16017833425726494
digitdist_0v1,3,TC-BKME-PMAL,0.5,0.0
digitdist_0v1,4,TC-BKME-PMAL,0.7963888888888888,0.16486549886513366
digitdist_0v1,5,TC-BKME-PMAL,0.5,0.0
digitdist_0v1,6,TC-BKME-PMAL,0.8800000000000003,0.12183524596968576
digitdist_0v1,7,TC-BKME-PMAL,0.5,0.0
digitdist_0v1,8,TC-BKME-PMAL,0.9241666666666671,0.09888303665579655
digitdist_0v1,9,TC-BKME-PMAL,0.5,0.0
digitdist_0v1,10,TC-BKME-PMAL,0.948611111111111,0.07813657321686227
digitdist_0v1,11,TC-BKME-PMAL,0.5,0.0
digitdist_0v1,12,TC-BKME-PMAL,0.9577777777777778,0.06448753348755588
digitdist_0v1,13,TC-BKME-PMAL,0.5,0.0
digitdist_0v1,14,TC-BKME-PMAL,0.9655555555555557,0.056740148435164006
digitdist_0v1,15,TC-BKME-PMAL,0.5008333333333334,0.0058333333333333275
digitdist_0v1,16,TC-BKME-PMAL,0.974166666666667,0.042492737215309884
digitdist_0v1,17,TC-BKME-PMAL,0.5055555555555555,0.022566773346211
digitdist_0v1,18,TC-BKME-PMAL,0.9747222222222223,0.03733916125146578
digitdist_0v1,19,TC-BKME-PMAL,0.5141666666666667,0.04635561015230616
digitdist_0v1,20,TC-BKME-PMAL,0.9777777777777782,0.034694433324435545
digitdist_0v1,21,TC-BKME-PMAL,0.5280555555555556,0.059348962777086914
digitdist_0v1,22,TC-BKME-PMAL,0.9794444444444446,0.027532248207475272
digitdist_0v1,23,TC-BKME-PMAL,0.5680555555555558,0.0942502087629086
digitdist_0v1,24,TC-BKME-PMAL,0.981666666666667,0.026994512473902988
digitdist_0v1,25,TC-BKME-PMAL,0.6097222222222222,0.10837783986055224
digitdist_0v1,26,TC-BKME-PMAL,0.9830555555555559,0.02457823236469294
digitdist_0v1,27,TC-BKME-PMAL,0.6758333333333333,0.12731225586653927
digitdist_0v1,28,TC-BKME-PMAL,0.9852777777777777,0.02246568027288418
digitdist_0v1,29,TC-BKME-PMAL,0.7458333333333332,0.12188241905243788
digitdist_0v1,30,TC-BKME-PMAL,0.9844444444444446,0.021808651584878366
digitdist_0v1,31,TC-BKME-PMAL,0.8188888888888887,0.11100550536897806
digitdist_0v1,32,TC-BKME-PMAL,0.986388888888889,0.02160425483927863
digitdist_0v1,33,TC-BKME-PMAL,0.8516666666666667,0.09584098198140759
digitdist_0v1,34,TC-BKME-PMAL,0.9855555555555559,0.021509400758451046
digitdist_0v1,35,TC-BKME-PMAL,0.899166666666667,0.0828136573993194
digitdist_0v1,36,TC-BKME-PMAL,0.9838888888888891,0.030600976342045356
digitdist_0v1,37,TC-BKME-PMAL,0.935,0.05613860712447847
digitdist_0v1,38,TC-BKME-PMAL,0.9877777777777779,0.016583123951777003
digitdist_0v1,39,TC-BKME-PMAL,0.9438888888888889,0.05957410573457294
digitdist_0v1,40,TC-BKME-PMAL,0.9883333333333333,0.015801625170364323
digitdist_0v1,41,TC-BKME-PMAL,0.9591666666666667,0.041612001177248246
digitdist_0v1,42,TC-BKME-PMAL,0.9891666666666667,0.015033399030816453
digitdist_0v1,43,TC-BKME-PMAL,0.9730555555555555,0.03135445505589042
digitdist_0v1,44,TC-BKME-PMAL,0.9894444444444446,0.014844876906541536
digitdist_0v1,45,TC-BKME-PMAL,0.9830555555555559,0.02174664725116648
digitdist_0v1,46,TC-BKME-PMAL,0.9902777777777778,0.013102751572300831
digitdist_0v1,47,TC-BKME-PMAL,0.9863888888888891,0.01810676498636918
digitdist_0v1,48,TC-BKME-PMAL,0.9897222222222224,0.01383601045045807
digitdist_0v1,49,TC-BKME-PMAL,0.9875000000000003,0.01672443691498929
digitdist_0v1,50,TC-BKME-PMAL,0.991388888888889,0.012695994313362697
digitdist_0v1,2,TC-noReliability,0.7097222222222221,0.16445875500795154
digitdist_0v1,3,TC-noReliability,0.5,0.0
digitdist_0v1,4,TC-noReliability,0.7772222222222221,0.17644815277379342
digitdist_0v1,5,TC-noReliability,0.5,0.0
digitdist_0v1,6,TC-noReliability,0.8619444444444444,0.1496758328464272
digitdist_0v1,7,TC-noReliability,0.5,0.0
digitdist_0v1,8,TC-noReliability,0.9102777777777779,0.12121459646041695
digitdist_0v1,9,TC-noReliability,0.5,0.0
digitdist_0v1,10,TC-noReliability,0.9352777777777779,0.09955960123228129
digitdist_0v1,11,TC-noReliability,0.5,0.0
digitdist_0v1,12,TC-noReliability,0.9544444444444444,0.08713725514708333
digitdist_0v1,13,TC-noReliability,0.5,0.0
