dataset,repeat,method,final_accuracy,AULC,runtime_seconds
digitdist_3v8,0,TC-BKME-PMAL,0.9444444444444444,0.6893424036281178,0.1064696004614234
digitdist_3v8,0,TC-noReliability,0.9305555555555556,0.7327097505668935,0.10702539887279272
digitdist_3v8,0,TC-noDensity,0.9444444444444444,0.7256235827664399,0.10859299777075648
digitdist_3v8,0,PMARLDS-lite,0.9444444444444444,0.7273242630385487,0.10709620034322143
digitdist_3v8,0,DISTMARGIN,0.75,0.7270408163265306,0.11009750002995133
digitdist_3v8,0,HILB-DENSITY,0.5277777777777778,0.5153061224489796,0.10999919660389423
digitdist_3v8,0,DISTRAND,0.5416666666666666,0.5130385487528345,0.08263669768348336
digitdist_3v8,1,TC-BKME-PMAL,0.9305555555555556,0.6910430839002268,0.1119800005108118
digitdist_3v8,1,TC-noReliability,0.9027777777777778,0.7151360544217686,0.11551120039075613
digitdist_3v8,1,TC-noDensity,0.9305555555555556,0.7242063492063491,0.10907370038330555
digitdist_3v8,1,PMARLDS-lite,0.9166666666666666,0.7253401360544217,0.10869860090315342
digitdist_3v8,1,DISTMARGIN,0.9583333333333334,0.7420634920634921,0.10681730089709163
digitdist_3v8,1,HILB-DENSITY,0.5138888888888888,0.5518707482993197,0.1120019000954926
digitdist_3v8,1,DISTRAND,0.5138888888888888,0.506235827664399,0.08568850019946694
digitdist_3v8,2,TC-BKME-PMAL,0.9583333333333334,0.6788548752834468,0.10523750120773911
digitdist_3v8,2,TC-noReliability,0.9305555555555556,0.69359410430839,0.10835999995470047
digitdist_3v8,2,TC-noDensity,0.9861111111111112,0.7145691609977325,0.10573060112074018
digitdist_3v8,2,PMARLDS-lite,0.9583333333333334,0.6760204081632655,0.10762800183147192
digitdist_3v8,2,DISTMARGIN,0.9166666666666666,0.6921768707482993,0.10406829975545406
digitdist_3v8,2,HILB-DENSITY,0.5,0.511904761904762,0.1030756994150579
digitdist_3v8,2,DISTRAND,0.5,0.5422335600907029,0.08133679907768965
digitdist_3v8,3,TC-BKME-PMAL,0.9305555555555556,0.7140022675736962,0.11326149851083755
