dataset,budget,method,mean_accuracy,std_accuracy
gaussdist_hard_variable,2,TC-BKME-PMAL,0.6669444444444445,0.10086393781038534
gaussdist_hard_variable,3,TC-BKME-PMAL,0.5,0.0
gaussdist_hard_variable,4,TC-BKME-PMAL,0.6816666666666664,0.1186940251442265
gaussdist_hard_variable,5,TC-BKME-PMAL,0.5,0.0
gaussdist_hard_variable,6,TC-BKME-PMAL,0.7186111111111111,0.11207257624271434
gaussdist_hard_variable,7,TC-BKME-PMAL,0.5,0.0
gaussdist_hard_variable,8,TC-BKME-PMAL,0.7569444444444445,0.09923511487720141
gaussdist_hard_variable,9,TC-BKME-PMAL,0.5,0.0
gaussdist_hard_variable,10,TC-BKME-PMAL,0.7813888888888886,0.08822713742255142
gaussdist_hard_variable,11,TC-BKME-PMAL,0.5005555555555555,0.0038888888888888905
gaussdist_hard_variable,12,TC-BKME-PMAL,0.8083333333333335,0.06724288020505667
gaussdist_hard_variable,13,TC-BKME-PMAL,0.5105555555555555,0.022662308949301286
gaussdist_hard_variable,14,TC-BKME-PMAL,0.8141666666666668,0.08401985729429139
gaussdist_hard_variable,15,TC-BKME-PMAL,0.5333333333333334,0.05030769521187455
gaussdist_hard_variable,16,TC-BKME-PMAL,0.825277777777778,0.07174468191243201
gaussdist_hard_variable,17,TC-BKME-PMAL,0.5700000000000003,0.07566372975210778
gaussdist_hard_variable,18,TC-BKME-PMAL,0.8375000000000001,0.05025014587534873
gaussdist_hard_variable,19,TC-BKME-PMAL,0.6208333333333335,0.09667504752941586
gaussdist_hard_variable,20,TC-BKME-PMAL,0.8411111111111113,0.06023103666530886
gaussdist_hard_variable,21,TC-BKME-PMAL,0.6783333333333335,0.09806617820962525
gaussdist_hard_variable,22,TC-BKME-PMAL,0.8436111111111111,0.06027265723258385
gaussdist_hard_variable,23,TC-BKME-PMAL,0.7299999999999999,0.0961111111111111
gaussdist_hard_variable,24,TC-BKME-PMAL,0.8452777777777779,0.06579347128855209
gaussdist_hard_variable,25,TC-BKME-PMAL,0.7622222222222225,0.07666062778148801
gaussdist_hard_variable,26,TC-BKME-PMAL,0.8408333333333333,0.0845380511885945
gaussdist_hard_variable,27,TC-BKME-PMAL,0.7824999999999998,0.0722013858832141
gaussdist_hard_variable,28,TC-BKME-PMAL,0.8475000000000001,0.060825722507164
gaussdist_hard_variable,29,TC-BKME-PMAL,0.8066666666666665,0.0679755765870778
gaussdist_hard_variable,30,TC-BKME-PMAL,0.8336111111111112,0.07770284088423975
gaussdist_hard_variable,31,TC-BKME-PMAL,0.8288888888888889,0.059475588933715864
gaussdist_hard_variable,32,TC-BKME-PMAL,0.8508333333333333,0.04769453342384762
gaussdist_hard_variable,33,TC-BKME-PMAL,0.8452777777777779,0.05091826541710173
gaussdist_hard_variable,34,TC-BKME-PMAL,0.8436111111111113,0.053992597800846275
gaussdist_hard_variable,35,TC-BKME-PMAL,0.8477777777777779,0.05513451563961376
gaussdist_hard_variable,36,TC-BKME-PMAL,0.8338888888888889,0.06746970056126796
gaussdist_hard_variable,37,TC-BKME-PMAL,0.8627777777777779,0.03963957992078493
gaussdist_hard_variable,38,TC-BKME-PMAL,0.8555555555555557,0.0441832603349635
gaussdist_hard_variable,39,TC-BKME-PMAL,0.8663888888888888,0.03797436594777853
gaussdist_hard_variable,40,TC-BKME-PMAL,0.8505555555555557,0.04950059233964082
gaussdist_hard_variable,41,TC-BKME-PMAL,0.8475,0.06018810534226308
gaussdist_hard_variable,42,TC-BKME-PMAL,0.8527777777777779,0.044270492918081196
gaussdist_hard_variable,43,TC-BKME-PMAL,0.8500000000000001,0.04762896722078403
gaussdist_hard_variable,44,TC-BKME-PMAL,0.858888888888889,0.05109601226256117
gaussdist_hard_variable,45,TC-BKME-PMAL,0.858888888888889,0.046841603329402966
gaussdist_hard_variable,46,TC-BKME-PMAL,0.8680555555555557,0.04506939094329984
gaussdist_hard_variable,47,TC-BKME-PMAL,0.869722222222222,0.04597117320051879
gaussdist_hard_variable,48,TC-BKME-PMAL,0.8666666666666667,0.04937885787397548
gaussdist_hard_variable,49,TC-BKME-PMAL,0.876111111111111,0.04274890800713474
gaussdist_hard_variable,50,TC-BKME-PMAL,0.8694444444444445,0.04138795673819815
gaussdist_hard_variable,2,TC-noReliability,0.6525,0.10116947338836459
gaussdist_hard_variable,3,TC-noReliability,0.5,0.0
gaussdist_hard_variable,4,TC-noReliability,0.5733333333333333,0.10570311323772894
gaussdist_hard_variable,5,TC-noReliability,0.5,0.0
gaussdist_hard_variable,6,TC-noReliability,0.6119444444444446,0.13575378265880048
gaussdist_hard_variable,7,TC-noReliability,0.5,0.0
gaussdist_hard_variable,8,TC-noReliability,0.6419444444444445,0.1380611445325209
gaussdist_hard_variable,9,TC-noReliability,0.5,0.0
gaussdist_hard_variable,10,TC-noReliability,0.6863888888888887,0.13811143514755947
gaussdist_hard_variable,11,TC-noReliability,0.506388888888889,0.019486066563661763
gaussdist_hard_variable,12,TC-noReliability,0.7005555555555556,0.14030280304829934
gaussdist_hard_variable,13,TC-noReliability,0.530277777777778,0.0564299248604239
gaussdist_hard_variable,14,TC-noReliability,0.7208333333333331,0.1346362841597527
gaussdist_hard_variable,15,TC-noReliability,0.5705555555555555,0.09512986575216373
gaussdist_hard_variable,16,TC-noReliability,0.7280555555555556,0.13952880361071343
gaussdist_hard_variable,17,TC-noReliability,0.6141666666666667,0.1050532639740667
gaussdist_hard_variable,18,TC-noReliability,0.7422222222222221,0.12835497652993436
gaussdist_hard_variable,19,TC-noReliability,0.6600000000000001,0.11450510797814403
gaussdist_hard_variable,20,TC-noReliability,0.7447222222222222,0.12649995120284033
gaussdist_hard_variable,21,TC-noReliability,0.7194444444444446,0.11954130439638895
gaussdist_hard_variable,22,TC-noReliability,0.754722222222222,0.12368474710596561
