dataset,repeat,method,final_accuracy,AULC,runtime_seconds
gaussdist_hard_variable,0,TC-BKME-PMAL,0.875,0.8061224489795918,0.10894909966737032
gaussdist_hard_variable,0,TC-noReliability,0.8888888888888888,0.7933673469387754,0.11263709794729948
gaussdist_hard_variable,0,TC-noDensity,0.875,0.7086167800453514,0.11419620038941503
gaussdist_hard_variable,0,PMARLDS-lite,0.8611111111111112,0.7998866213151927,0.10890730004757643
gaussdist_hard_variable,0,DISTMARGIN,0.875,0.800453514739229,0.11054729903116822
gaussdist_hard_variable,0,HILB-DENSITY,0.5,0.5028344671201814,0.09800670156255364
gaussdist_hard_variable,0,DISTRAND,0.9027777777777778,0.7060657596371882,0.08237340208142996
gaussdist_hard_variable,1,TC-BKME-PMAL,0.8055555555555556,0.7003968253968254,0.11533099925145507
gaussdist_hard_variable,1,TC-noReliability,0.7777777777777778,0.6408730158730159,0.11743990005925298
gaussdist_hard_variable,1,TC-noDensity,0.875,0.7210884353741497,0.12272960040718317
gaussdist_hard_variable,1,PMARLDS-lite,0.8333333333333334,0.7148526077097506,0.12023130059242249
gaussdist_hard_variable,1,DISTMARGIN,0.8611111111111112,0.7604875283446713,0.11318940157070756
gaussdist_hard_variable,1,HILB-DENSITY,0.5,0.5028344671201814,0.10190670005977154
gaussdist_hard_variable,1,DISTRAND,0.7916666666666666,0.6181972789115646,0.08495840011164546
gaussdist_hard_variable,2,TC-BKME-PMAL,0.8194444444444444,0.7006802721088435,0.11479510087519884
gaussdist_hard_variable,2,TC-noReliability,0.8611111111111112,0.7103174603174603,0.10990530112758279
gaussdist_hard_variable,2,TC-noDensity,0.8611111111111112,0.7290249433106577,0.1094440002925694
gaussdist_hard_variable,2,PMARLDS-lite,0.8194444444444444,0.6386054421768707,0.10517519898712635
gaussdist_hard_variable,2,DISTMARGIN,0.9166666666666666,0.7953514739229025,0.10815209895372391
gaussdist_hard_variable,2,HILB-DENSITY,0.5,0.5011337868480726,0.0993247008882463
gaussdist_hard_variable,2,DISTRAND,0.8055555555555556,0.6159297052154196,0.0854105013422668
gaussdist_hard_variable,3,TC-BKME-PMAL,0.9166666666666666,0.7423469387755101,0.12987409951165318
gaussdist_hard_variable,3,TC-noReliability,0.875,0.7857142857142857,0.13026840100064874
gaussdist_hard_variable,3,TC-noDensity,0.8333333333333334,0.8007369614512472,0.12818389991298318
gaussdist_hard_variable,3,PMARLDS-lite,0.8611111111111112,0.7607709750566896,0.11784009914845228
gaussdist_hard_variable,3,DISTMARGIN,0.9166666666666666,0.7942176870748299,0.12071729870513082
gaussdist_hard_variable,3,HILB-DENSITY,0.5,0.501984126984127,0.11516080098226666
