dataset,repeat,method,final_accuracy,AULC,runtime_seconds
gaussdist_variable,0,TC-BKME-PMAL,0.9722222222222222,0.9345238095238094,0.10973010119050741
gaussdist_variable,0,TC-noReliability,0.9722222222222222,0.937641723356009,0.10741729801520705
gaussdist_variable,0,TC-noDensity,0.9722222222222222,0.9384920634920634,0.10830500023439527
gaussdist_variable,0,PMARLDS-lite,0.9722222222222222,0.9268707482993197,0.11102360114455223
gaussdist_variable,0,DISTMARGIN,0.9722222222222222,0.9413265306122448,0.1073011988773942
gaussdist_variable,0,HILB-DENSITY,0.9027777777777778,0.5436507936507936,0.09703299915418029
gaussdist_variable,0,DISTRAND,0.9722222222222222,0.8880385487528345,0.08294440247118473
gaussdist_variable,1,TC-BKME-PMAL,0.9861111111111112,0.9421768707482994,0.11239550076425076
gaussdist_variable,1,TC-noReliability,1.0,0.9311224489795918,0.11238949932157993
gaussdist_variable,1,TC-noDensity,1.0,0.9387755102040817,0.10630999878048897
gaussdist_variable,1,PMARLDS-lite,1.0,0.9379251700680271,0.10987109923735261
gaussdist_variable,1,DISTMARGIN,1.0,0.9484126984126986,0.10716430051252246
gaussdist_variable,1,HILB-DENSITY,0.9583333333333334,0.5997732426303855,0.09732430102303624
gaussdist_variable,1,DISTRAND,1.0,0.8421201814058956,0.08149680215865374
gaussdist_variable,2,TC-BKME-PMAL,0.9722222222222222,0.9002267573696145,0.11277899704873562
gaussdist_variable,2,TC-noReliability,0.9722222222222222,0.8942743764172336,0.1087822001427412
gaussdist_variable,2,TC-noDensity,0.9722222222222222,0.9325396825396826,0.10481629986315966
gaussdist_variable,2,PMARLDS-lite,0.9722222222222222,0.9240362811791384,0.10505490051582456
gaussdist_variable,2,DISTMARGIN,0.9722222222222222,0.9331065759637188,0.10850240010768175
gaussdist_variable,2,HILB-DENSITY,0.5694444444444444,0.5138888888888888,0.10219559958204627
gaussdist_variable,2,DISTRAND,0.9722222222222222,0.8143424036281179,0.08566540060564876
gaussdist_variable,3,TC-BKME-PMAL,1.0,0.9438775510204082,0.107747299131006
gaussdist_variable,3,TC-noReliability,1.0,0.927437641723356,0.10991149954497814
gaussdist_variable,3,TC-noDensity,1.0,0.9339569160997732,0.10679030045866966
gaussdist_variable,3,PMARLDS-lite,0.9861111111111112,0.9435941043083901,0.11044400231912732
gaussdist_variable,3,DISTMARGIN,0.9861111111111112,0.9390589569160999,0.11072569945827127
gaussdist_variable,3,HILB-DENSITY,0.9305555555555556,0.6760204081632653,0.1101883016526699
gaussdist_variable,3,DISTRAND,0.9861111111111112,0.8866213151927439,0.08435969892889261
gaussdist_variable,4,TC-BKME-PMAL,0.9583333333333334,0.9158163265306123,0.1088432022370398
gaussdist_variable,4,TC-noReliability,0.9861111111111112,0.9206349206349207,0.10957390069961548
gaussdist_variable,4,TC-noDensity,0.9583333333333334,0.9078798185941043,0.10559789976105094
gaussdist_variable,4,PMARLDS-lite,0.9583333333333334,0.9132653061224489,0.10399479977786541
gaussdist_variable,4,DISTMARGIN,0.9722222222222222,0.9274376417233561,0.10367189906537533
gaussdist_variable,4,HILB-DENSITY,0.6527777777777778,0.5212585034013605,0.1008495013229549
gaussdist_variable,4,DISTRAND,0.9722222222222222,0.850907029478458,0.08140750229358673
gaussdist_variable,5,TC-BKME-PMAL,1.0,0.9384920634920636,0.10961889987811446
gaussdist_variable,5,TC-noReliability,0.9861111111111112,0.9345238095238096,0.10708669945597649
gaussdist_variable,5,TC-noDensity,1.0,0.9467120181405895,0.1084263981319964
gaussdist_variable,5,PMARLDS-lite,1.0,0.9328231292517007,0.10595589783042669
gaussdist_variable,5,DISTMARGIN,1.0,0.933390022675737,0.10569639829918742
gaussdist_variable,5,HILB-DENSITY,0.75,0.5629251700680272,0.09784849965944886
gaussdist_variable,5,DISTRAND,0.9861111111111112,0.9268707482993198,0.08055379893630743
gaussdist_variable,6,TC-BKME-PMAL,0.9861111111111112,0.9039115646258504,0.11603600112721324
gaussdist_variable,6,TC-noReliability,1.0,0.8937074829931974,0.11185920052230358
gaussdist_variable,6,TC-noDensity,0.9722222222222222,0.9146825396825398,0.10886019840836525
gaussdist_variable,6,PMARLDS-lite,0.9861111111111112,0.9036281179138324,0.10839259997010231
gaussdist_variable,6,DISTMARGIN,0.9861111111111112,0.9158163265306123,0.10962510108947754
gaussdist_variable,6,HILB-DENSITY,0.6388888888888888,0.530045351473923,0.10623989906162024
gaussdist_variable,6,DISTRAND,0.9861111111111112,0.8500566893424037,0.08867640094831586
gaussdist_variable,7,TC-BKME-PMAL,0.9861111111111112,0.9328231292517007,0.10810939688235521
gaussdist_variable,7,TC-noReliability,1.0,0.9285714285714286,0.10796990105882287
gaussdist_variable,7,TC-noDensity,0.9861111111111112,0.9311224489795918,0.10897530009970069
gaussdist_variable,7,PMARLDS-lite,0.9861111111111112,0.9328231292517009,0.1091802017763257
gaussdist_variable,7,DISTMARGIN,1.0,0.9458616780045351,0.10694979643449187
gaussdist_variable,7,HILB-DENSITY,0.625,0.5085034013605442,0.09998069703578949
gaussdist_variable,7,DISTRAND,0.9861111111111112,0.8840702947845807,0.08407469931989908
gaussdist_variable,8,TC-BKME-PMAL,0.9861111111111112,0.9404761904761907,0.10415200050920248
gaussdist_variable,8,TC-noReliability,0.9861111111111112,0.9461451247165533,0.10590299824252725
gaussdist_variable,8,TC-noDensity,0.9861111111111112,0.9424603174603174,0.10713839856907725
gaussdist_variable,8,PMARLDS-lite,0.9861111111111112,0.9373582766439911,0.10900330077856779
gaussdist_variable,8,DISTMARGIN,0.9861111111111112,0.9407596371882088,0.10806979797780514
gaussdist_variable,8,HILB-DENSITY,0.9583333333333334,0.5521541950113378,0.09818450128659606
gaussdist_variable,8,DISTRAND,0.9722222222222222,0.9160997732426304,0.08168269973248243
gaussdist_variable,9,TC-BKME-PMAL,0.9861111111111112,0.9246031746031746,0.1058203000575304
gaussdist_variable,9,TC-noReliability,0.9583333333333334,0.9163832199546486,0.11012529861181974
gaussdist_variable,9,TC-noDensity,0.9583333333333334,0.9101473922902494,0.10855619935318828
gaussdist_variable,9,PMARLDS-lite,0.9861111111111112,0.9095804988662133,0.1071997000835836
gaussdist_variable,9,DISTMARGIN,0.9722222222222222,0.9081632653061223,0.10420759906992316
gaussdist_variable,9,HILB-DENSITY,0.6388888888888888,0.5212585034013606,0.09600139874964952
gaussdist_variable,9,DISTRAND,0.9861111111111112,0.8375850340136055,0.08279060013592243
gaussdist_variable,10,TC-BKME-PMAL,0.9722222222222222,0.9053287981859409,0.10652670031413436
gaussdist_variable,10,TC-noReliability,0.9722222222222222,0.9129818594104308,0.11056249868124723
gaussdist_variable,10,TC-noDensity,0.9722222222222222,0.9118480725623583,0.1094089993275702
gaussdist_variable,10,PMARLDS-lite,0.9583333333333334,0.9030612244897959,0.10831969929859042
gaussdist_variable,10,DISTMARGIN,0.9722222222222222,0.9024943310657596,0.11086679948493838
gaussdist_variable,10,HILB-DENSITY,0.9305555555555556,0.6315192743764173,0.10429940093308687
gaussdist_variable,10,DISTRAND,0.9583333333333334,0.9027777777777777,0.08328629983589053
gaussdist_variable,11,TC-BKME-PMAL,0.9722222222222222,0.9294217687074829,0.102978500071913
gaussdist_variable,11,TC-noReliability,0.9722222222222222,0.9078798185941043,0.10521700093522668
gaussdist_variable,11,TC-noDensity,0.9861111111111112,0.929421768707483,0.10474609956145287
gaussdist_variable,11,PMARLDS-lite,0.9722222222222222,0.9183673469387755,0.10722109908238053
gaussdist_variable,11,DISTMARGIN,0.9722222222222222,0.915532879818594,0.10905169975012541
gaussdist_variable,11,HILB-DENSITY,0.6944444444444444,0.5620748299319728,0.09779570018872619
gaussdist_variable,11,DISTRAND,0.9583333333333334,0.8900226757369614,0.08122210018336773
gaussdist_variable,12,TC-BKME-PMAL,0.9583333333333334,0.90702947845805,0.10632110200822353
gaussdist_variable,12,TC-noReliability,1.0,0.9129818594104309,0.10327110067009926
gaussdist_variable,12,TC-noDensity,0.9861111111111112,0.9336734693877551,0.1132487989962101
gaussdist_variable,12,PMARLDS-lite,1.0,0.9356575963718822,0.10557480016723275
gaussdist_variable,12,DISTMARGIN,0.9722222222222222,0.933390022675737,0.10298319905996323
gaussdist_variable,12,HILB-DENSITY,0.6527777777777778,0.5297619047619048,0.09559550043195486
gaussdist_variable,12,DISTRAND,1.0,0.9268707482993198,0.08194209914654493
gaussdist_variable,13,TC-BKME-PMAL,1.0,0.9251700680272108,0.10749490093439817
gaussdist_variable,13,TC-noReliability,1.0,0.9447278911564625,0.10762509983032942
gaussdist_variable,13,TC-noDensity,1.0,0.9407596371882088,0.10832450026646256
gaussdist_variable,13,PMARLDS-lite,1.0,0.9280045351473922,0.11221680091693997
gaussdist_variable,13,DISTMARGIN,1.0,0.9492630385487528,0.11041090032085776
gaussdist_variable,13,HILB-DENSITY,0.8055555555555556,0.5187074829931974,0.09780720062553883
gaussdist_variable,13,DISTRAND,0.9861111111111112,0.9220521541950114,0.08292170148342848
gaussdist_variable,14,TC-BKME-PMAL,1.0,0.9158163265306123,0.11287510208785534
gaussdist_variable,14,TC-noReliability,1.0,0.9178004535147393,0.10972230043262243
gaussdist_variable,14,TC-noDensity,1.0,0.9291383219954648,0.10911509953439236
gaussdist_variable,14,PMARLDS-lite,1.0,0.933390022675737,0.10777969984337687
gaussdist_variable,14,DISTMARGIN,1.0,0.9240362811791384,0.10761459916830063
gaussdist_variable,14,HILB-DENSITY,0.5,0.5053854875283447,0.09530840069055557
gaussdist_variable,14,DISTRAND,1.0,0.7800453514739228,0.08542430214583874
gaussdist_variable,15,TC-BKME-PMAL,0.9722222222222222,0.9078798185941044,0.10864250175654888
gaussdist_variable,15,TC-noReliability,0.9722222222222222,0.8937074829931972,0.10625360114499927
gaussdist_variable,15,TC-noDensity,0.9722222222222222,0.919501133786848,0.1098167016170919
gaussdist_variable,15,PMARLDS-lite,0.9722222222222222,0.8996598639455782,0.10845509869977832
gaussdist_variable,15,DISTMARGIN,0.9583333333333334,0.9109977324263039,0.11113349813967943
gaussdist_variable,15,HILB-DENSITY,0.7638888888888888,0.530328798185941,0.0987292998470366
gaussdist_variable,15,DISTRAND,0.9305555555555556,0.8058390022675738,0.08285839948803186
gaussdist_variable,16,TC-BKME-PMAL,0.9861111111111112,0.9464285714285716,0.10630609979853034
gaussdist_variable,16,TC-noReliability,0.9861111111111112,0.9390589569160999,0.10737619968131185
gaussdist_variable,16,TC-noDensity,0.9861111111111112,0.9393424036281179,0.10430979821830988
gaussdist_variable,16,PMARLDS-lite,0.9861111111111112,0.9410430839002268,0.10497619956731796
gaussdist_variable,16,DISTMARGIN,0.9861111111111112,0.9401927437641723,0.10594010073691607
gaussdist_variable,16,HILB-DENSITY,1.0,0.6797052154195011,0.09899169858545065
gaussdist_variable,16,DISTRAND,0.9861111111111112,0.9285714285714286,0.08287409879267216
gaussdist_variable,17,TC-BKME-PMAL,0.9444444444444444,0.8945578231292516,0.10754239838570356
gaussdist_variable,17,TC-noReliability,0.9305555555555556,0.8962585034013605,0.10630940087139606
gaussdist_variable,17,TC-noDensity,0.9444444444444444,0.9033446712018139,0.10454580141231418
gaussdist_variable,17,PMARLDS-lite,0.9444444444444444,0.9033446712018139,0.10308549925684929
gaussdist_variable,17,DISTMARGIN,0.9444444444444444,0.8908730158730157,0.10757750179618597
gaussdist_variable,17,HILB-DENSITY,0.9027777777777778,0.6043083900226758,0.09898010035976768
gaussdist_variable,17,DISTRAND,0.9444444444444444,0.8676303854875282,0.08119840128347278
gaussdist_variable,18,TC-BKME-PMAL,0.9861111111111112,0.9427437641723355,0.10481749987229705
gaussdist_variable,18,TC-noReliability,0.9861111111111112,0.9353741496598641,0.10930640157312155
gaussdist_variable,18,TC-noDensity,0.9861111111111112,0.9325396825396827,0.10711180046200752
gaussdist_variable,18,PMARLDS-lite,1.0,0.9492630385487528,0.1059010005556047
gaussdist_variable,18,DISTMARGIN,0.9861111111111112,0.9410430839002268,0.10619830014184117
gaussdist_variable,18,HILB-DENSITY,0.9027777777777778,0.5351473922902494,0.09776660148054361
