dataset,comparison,mean_aulc_delta,tc_wins_aulc,other_wins_aulc,ties_aulc,wilcoxon_p_value,mean_final_delta
20newsdist,TC-BKME-PMAL vs DISTMARGIN,-0.021430839002267565,10,40,0,3.586156610779767e-06,-0.0251111111111111
20newsdist,TC-BKME-PMAL vs DISTRAND,0.029310657596371872,41,9,0,1.043462873453674e-07,0.11988888888888889
20newsdist,TC-BKME-PMAL vs HILB-DENSITY,0.04377551020408163,48,2,0,8.881784197001252e-15,0.14155555555555557
20newsdist,TC-BKME-PMAL vs PMARLDS-lite,0.002789115646258491,28,22,0,0.4963885938865378,-0.02477777777777777
20newsdist,TC-BKME-PMAL vs TC-noDensity,-0.026036281179138324,5,45,0,1.7568968502246207e-09,-0.03277777777777777
20newsdist,TC-BKME-PMAL vs TC-noReliability,0.014108843537414952,38,12,0,0.0001778852638985029,0.012222222222222232
digitdist_0v1,TC-BKME-PMAL vs DISTMARGIN,-0.027891156462585016,5,45,0,7.365054380638926e-09,-0.0027777777777777722
digitdist_0v1,TC-BKME-PMAL vs DISTRAND,0.11903628117913832,50,0,0,7.555220876380673e-10,0.03138888888888889
digitdist_0v1,TC-BKME-PMAL vs HILB-DENSITY,0.3169387755102041,50,0,0,7.550097219539461e-10,0.35888888888888887
digitdist_0v1,TC-BKME-PMAL vs PMARLDS-lite,0.00400226757369615,28,22,0,0.09301382694989764,0.0
digitdist_0v1,TC-BKME-PMAL vs TC-noDensity,-0.01198412698412697,10,40,0,4.922041318682919e-05,-0.0005555555555555536
digitdist_0v1,TC-BKME-PMAL vs TC-noReliability,0.0035997732426303907,29,21,0,0.13207638990893508,-0.002222222222222221
digitdist_1v7,TC-BKME-PMAL vs DISTMARGIN,-0.02503968253968254,8,42,0,1.3231595511531133e-07,0.016944444444444443
digitdist_1v7,TC-BKME-PMAL vs DISTRAND,0.16249433106575967,50,0,0,1.7763568394002505e-15,0.23166666666666663
digitdist_1v7,TC-BKME-PMAL vs HILB-DENSITY,0.2338548752834467,50,0,0,7.555220876380673e-10,0.41222222222222227
digitdist_1v7,TC-BKME-PMAL vs PMARLDS-lite,0.008049886621315179,32,18,0,0.03794327397255245,0.0016666666666666585
digitdist_1v7,TC-BKME-PMAL vs TC-noDensity,-0.004087301587301595,20,30,0,0.12362743650079211,0.00027777777777777236
digitdist_1v7,TC-BKME-PMAL vs TC-noReliability,0.0012244897959183575,28,22,0,0.417429086493725,0.013055555555555553
digitdist_3v8,TC-BKME-PMAL vs DISTMARGIN,-0.026179138321995463,9,41,0,8.891133816539409e-08,0.01305555555555555
digitdist_3v8,TC-BKME-PMAL vs DISTRAND,0.1520578231292517,50,0,0,7.555220876380673e-10,0.33000000000000007
