dataset,method,final_accuracy,std_final,AULC,mean_runtime_seconds
gaussdist_variable,TC-BKME-PMAL,0.977777777777778,0.0141639430933132,0.904656862745098,0.0519537439200121
gaussdist_variable,PMARLDS-lite,0.975,0.0184256932797522,0.9053921568627452,0.0519537439200121
gaussdist_variable,DISTMARGIN,0.9833333333333334,0.0055555555555555,0.9075980392156864,0.0519537439200121
gaussdist_variable,HILB-DENSITY,0.5833333333333333,0.1666666666666666,0.5197712418300654,0.0519537439200121
gaussdist_variable,DISTRAND,0.9805555555555556,0.0141639430933132,0.873937908496732,0.0519537439200121
gaussdist_equal,TC-BKME-PMAL,0.975,0.0161970885967925,0.9093954248366014,0.0480431393599974
gaussdist_equal,PMARLDS-lite,0.977777777777778,0.0188398055086813,0.90531045751634,0.0480431393599974
gaussdist_equal,DISTMARGIN,0.9805555555555556,0.0141639430933132,0.9160130718954248,0.0480431393599974
gaussdist_equal,HILB-DENSITY,0.5,0.0,0.5111111111111112,0.0480431393599974
gaussdist_equal,DISTRAND,0.977777777777778,0.0141639430933132,0.8465686274509804,0.0480431393599974
digitdist_0v1,TC-BKME-PMAL,0.9944444444444444,0.0068041381743976,0.8458049886621316,0.0669714965999992
digitdist_0v1,PMARLDS-lite,0.9944444444444444,0.0068041381743976,0.8403061224489797,0.0669714965999992
digitdist_0v1,DISTMARGIN,0.997222222222222,0.0055555555555555,0.8606009070294784,0.0669714965999992
digitdist_0v1,HILB-DENSITY,0.5694444444444444,0.0686060501957137,0.5073696145124715,0.0669714965999992
digitdist_0v1,DISTRAND,0.9638888888888888,0.0593171014001739,0.6854308390022675,0.0669714965999992
