dataset,budget,method,mean_accuracy,std_accuracy
digitdist_0v1,2,TC-BKME-PMAL,0.7666666666666666,0.15046225071056493
digitdist_0v1,3,TC-BKME-PMAL,0.5,0.0
digitdist_0v1,4,TC-BKME-PMAL,0.913888888888889,0.07103728806969124
digitdist_0v1,5,TC-BKME-PMAL,0.5,0.0
digitdist_0v1,6,TC-BKME-PMAL,0.9638888888888889,0.022566773346211016
digitdist_0v1,7,TC-BKME-PMAL,0.5,0.0
digitdist_0v1,8,TC-BKME-PMAL,0.9722222222222221,0.019641855032959663
digitdist_0v1,9,TC-BKME-PMAL,0.5,0.0
digitdist_0v1,10,TC-BKME-PMAL,0.9916666666666668,0.01111111111111111
digitdist_0v1,11,TC-BKME-PMAL,0.5,0.0
digitdist_0v1,12,TC-BKME-PMAL,0.9916666666666668,0.006804138174397693
digitdist_0v1,13,TC-BKME-PMAL,0.5,0.0
digitdist_0v1,14,TC-BKME-PMAL,0.9888888888888889,0.005555555555555536
digitdist_0v1,15,TC-BKME-PMAL,0.5,0.0
digitdist_0v1,16,TC-BKME-PMAL,0.9944444444444445,0.011111111111111117
digitdist_0v1,17,TC-BKME-PMAL,0.5,0.0
digitdist_0v1,18,TC-BKME-PMAL,0.9916666666666668,0.01111111111111111
digitdist_0v1,19,TC-BKME-PMAL,0.5027777777777778,0.005555555555555536
digitdist_0v1,20,TC-BKME-PMAL,0.9888888888888889,0.005555555555555536
digitdist_0v1,21,TC-BKME-PMAL,0.5111111111111111,0.016197088596792485
digitdist_0v1,22,TC-BKME-PMAL,0.9944444444444445,0.006804138174397694
digitdist_0v1,23,TC-BKME-PMAL,0.5555555555555556,0.0645497224367903
digitdist_0v1,24,TC-BKME-PMAL,0.9944444444444445,0.006804138174397694
digitdist_0v1,25,TC-BKME-PMAL,0.6166666666666667,0.11166528467912101
digitdist_0v1,26,TC-BKME-PMAL,0.9944444444444445,0.011111111111111117
digitdist_0v1,27,TC-BKME-PMAL,0.6555555555555556,0.11228546073004299
digitdist_0v1,28,TC-BKME-PMAL,0.9944444444444445,0.006804138174397694
digitdist_0v1,29,TC-BKME-PMAL,0.7611111111111111,0.1066464101136248
digitdist_0v1,30,TC-BKME-PMAL,0.9944444444444445,0.006804138174397694
digitdist_0v1,31,TC-BKME-PMAL,0.8388888888888889,0.11166528467912104
digitdist_0v1,32,TC-BKME-PMAL,0.9944444444444445,0.011111111111111117
digitdist_0v1,33,TC-BKME-PMAL,0.8722222222222221,0.06770032003863301
digitdist_0v1,34,TC-BKME-PMAL,0.9944444444444445,0.011111111111111117
digitdist_0v1,35,TC-BKME-PMAL,0.9083333333333332,0.059317101400173926
digitdist_0v1,36,TC-BKME-PMAL,0.9944444444444445,0.011111111111111117
digitdist_0v1,37,TC-BKME-PMAL,0.9222222222222222,0.06949997779553779
digitdist_0v1,38,TC-BKME-PMAL,0.9944444444444445,0.011111111111111117
digitdist_0v1,39,TC-BKME-PMAL,0.9277777777777778,0.04762896722078401
digitdist_0v1,40,TC-BKME-PMAL,0.9916666666666668,0.01111111111111111
digitdist_0v1,41,TC-BKME-PMAL,0.961111111111111,0.02389534796400729
digitdist_0v1,42,TC-BKME-PMAL,0.9944444444444445,0.006804138174397693
digitdist_0v1,43,TC-BKME-PMAL,0.9722222222222221,0.01756820922315767
digitdist_0v1,44,TC-BKME-PMAL,0.9944444444444445,0.006804138174397693
digitdist_0v1,45,TC-BKME-PMAL,0.9888888888888889,0.010393492741038726
digitdist_0v1,46,TC-BKME-PMAL,0.9944444444444445,0.006804138174397693
digitdist_0v1,47,TC-BKME-PMAL,0.986111111111111,0.012422599874998837
digitdist_0v1,48,TC-BKME-PMAL,0.9944444444444445,0.006804138174397693
digitdist_0v1,49,TC-BKME-PMAL,0.986111111111111,0.012422599874998837
digitdist_0v1,50,TC-BKME-PMAL,0.9944444444444445,0.006804138174397693
digitdist_0v1,2,PMARLDS-lite,0.925,0.05866308911650799
digitdist_0v1,3,PMARLDS-lite,0.5,0.0
digitdist_0v1,4,PMARLDS-lite,0.961111111111111,0.032155102507750624
digitdist_0v1,5,PMARLDS-lite,0.5,0.0
digitdist_0v1,6,PMARLDS-lite,0.9166666666666666,0.08740073734751265
digitdist_0v1,7,PMARLDS-lite,0.5,0.0
digitdist_0v1,8,PMARLDS-lite,0.975,0.013608276348795427
digitdist_0v1,9,PMARLDS-lite,0.5,0.0
digitdist_0v1,10,PMARLDS-lite,0.9777777777777779,0.011111111111111117
digitdist_0v1,11,PMARLDS-lite,0.5,0.0
digitdist_0v1,12,PMARLDS-lite,0.9888888888888889,0.022222222222222233
digitdist_0v1,13,PMARLDS-lite,0.5,0.0
digitdist_0v1,14,PMARLDS-lite,0.9888888888888889,0.022222222222222233
digitdist_0v1,15,PMARLDS-lite,0.5,0.0
