dataset,budget,method,mean_accuracy,std_accuracy
gaussdist_equal,2,TC-BKME-PMAL,0.8666666666666666,0.07837075544258826
gaussdist_equal,3,TC-BKME-PMAL,0.5,0.0
gaussdist_equal,4,TC-BKME-PMAL,0.9583333333333334,0.017568209223157653
gaussdist_equal,5,TC-BKME-PMAL,0.5,0.0
gaussdist_equal,6,TC-BKME-PMAL,0.9666666666666668,0.0272165526975909
gaussdist_equal,7,TC-BKME-PMAL,0.5,0.0
gaussdist_equal,8,TC-BKME-PMAL,0.975,0.010393492741038736
gaussdist_equal,9,TC-BKME-PMAL,0.6777777777777778,0.06994265728896763
gaussdist_equal,10,TC-BKME-PMAL,0.975,0.013608276348795441
gaussdist_equal,11,TC-BKME-PMAL,0.8555555555555555,0.05241100628920337
gaussdist_equal,12,TC-BKME-PMAL,0.9777777777777779,0.011111111111111122
gaussdist_equal,13,TC-BKME-PMAL,0.9305555555555556,0.048112522432468816
gaussdist_equal,14,TC-BKME-PMAL,0.9805555555555557,0.011111111111111122
gaussdist_equal,15,TC-BKME-PMAL,0.9333333333333333,0.03767961101736262
gaussdist_equal,16,TC-BKME-PMAL,0.9222222222222222,0.12095300587265134
gaussdist_equal,17,TC-BKME-PMAL,0.9333333333333333,0.03557291243018253
gaussdist_equal,18,TC-BKME-PMAL,0.9805555555555557,0.01416394309331329
gaussdist_equal,19,TC-BKME-PMAL,0.961111111111111,0.02389534796400729
gaussdist_equal,20,TC-BKME-PMAL,0.9583333333333334,0.03621779114001475
gaussdist_equal,21,TC-BKME-PMAL,0.961111111111111,0.025458753860865786
gaussdist_equal,22,TC-BKME-PMAL,0.961111111111111,0.016197088596792523
gaussdist_equal,23,TC-BKME-PMAL,0.9694444444444444,0.016197088596792523
gaussdist_equal,24,TC-BKME-PMAL,0.9416666666666668,0.03868996743662258
gaussdist_equal,25,TC-BKME-PMAL,0.975,0.016197088596792534
gaussdist_equal,26,TC-BKME-PMAL,0.9777777777777779,0.0068041381743977475
gaussdist_equal,27,TC-BKME-PMAL,0.975,0.022222222222222233
gaussdist_equal,28,TC-BKME-PMAL,0.9805555555555557,0.018839805508681317
gaussdist_equal,29,TC-BKME-PMAL,0.975,0.023895347964007295
gaussdist_equal,30,TC-BKME-PMAL,0.975,0.010393492741038736
gaussdist_equal,31,TC-BKME-PMAL,0.975,0.016197088596792534
gaussdist_equal,32,TC-BKME-PMAL,0.975,0.010393492741038736
gaussdist_equal,33,TC-BKME-PMAL,0.975,0.016197088596792534
gaussdist_equal,34,TC-BKME-PMAL,0.975,0.010393492741038736
gaussdist_equal,35,TC-BKME-PMAL,0.975,0.016197088596792534
gaussdist_equal,2,PMARLDS-lite,0.8555555555555555,0.05457467417885693
gaussdist_equal,3,PMARLDS-lite,0.5,0.0
gaussdist_equal,4,PMARLDS-lite,0.925,0.08174410538645649
gaussdist_equal,5,PMARLDS-lite,0.5,0.0
gaussdist_equal,6,PMARLDS-lite,0.9666666666666666,0.02078698548207746
gaussdist_equal,7,PMARLDS-lite,0.5,0.0
gaussdist_equal,8,PMARLDS-lite,0.95,0.04356774205932811
gaussdist_equal,9,PMARLDS-lite,0.6111111111111112,0.1363659745403731
gaussdist_equal,10,PMARLDS-lite,0.9555555555555555,0.038689967436622584
gaussdist_equal,11,PMARLDS-lite,0.7916666666666667,0.11587029785896785
gaussdist_equal,12,PMARLDS-lite,0.9666666666666668,0.02576005137637696
gaussdist_equal,13,PMARLDS-lite,0.8972222222222224,0.05996398095811918
gaussdist_equal,14,PMARLDS-lite,0.9805555555555557,0.01416394309331329
gaussdist_equal,15,PMARLDS-lite,0.9305555555555557,0.046481112585226414
gaussdist_equal,16,PMARLDS-lite,0.9583333333333334,0.03726779962499651
gaussdist_equal,17,PMARLDS-lite,0.9722222222222221,0.019641855032959663
gaussdist_equal,18,PMARLDS-lite,0.9166666666666667,0.1323458805507955
gaussdist_equal,19,PMARLDS-lite,0.9722222222222221,0.0152145154862546
gaussdist_equal,20,PMARLDS-lite,0.9666666666666668,0.0188398055086813
gaussdist_equal,21,PMARLDS-lite,0.9805555555555557,0.006804138174397747
gaussdist_equal,22,PMARLDS-lite,0.9694444444444444,0.01842569327975222
gaussdist_equal,23,PMARLDS-lite,0.9805555555555557,0.011111111111111117
gaussdist_equal,24,PMARLDS-lite,0.9777777777777779,0.018839805508681286
gaussdist_equal,25,PMARLDS-lite,0.986111111111111,0.008784104611578835
gaussdist_equal,26,PMARLDS-lite,0.9777777777777779,0.01666666666666666
gaussdist_equal,27,PMARLDS-lite,0.9833333333333334,0.016197088596792492
gaussdist_equal,28,PMARLDS-lite,0.986111111111111,0.0152145154862546
gaussdist_equal,29,PMARLDS-lite,0.9777777777777779,0.01416394309331329
gaussdist_equal,30,PMARLDS-lite,0.9805555555555557,0.01416394309331329
gaussdist_equal,31,PMARLDS-lite,0.961111111111111,0.03447131568330794
gaussdist_equal,32,PMARLDS-lite,0.9722222222222221,0.015214515486254642
gaussdist_equal,33,PMARLDS-lite,0.975,0.010393492741038736
gaussdist_equal,34,PMARLDS-lite,0.9777777777777779,0.011111111111111122
gaussdist_equal,35,PMARLDS-lite,0.9777777777777779,0.01883980550868132
gaussdist_equal,2,DISTMARGIN,0.9333333333333333,0.04063538566202166
gaussdist_equal,3,DISTMARGIN,0.5,0.0
gaussdist_equal,4,DISTMARGIN,0.9527777777777778,0.027216552697590882
gaussdist_equal,5,DISTMARGIN,0.5,0.0
gaussdist_equal,6,DISTMARGIN,0.9361111111111111,0.04444444444444444
gaussdist_equal,7,DISTMARGIN,0.5138888888888888,0.012422599874998837
gaussdist_equal,8,DISTMARGIN,0.9666666666666668,0.03239417719358501
gaussdist_equal,9,DISTMARGIN,0.7611111111111111,0.10333930687632373
gaussdist_equal,10,DISTMARGIN,0.9666666666666668,0.02576005137637698
gaussdist_equal,11,DISTMARGIN,0.8694444444444445,0.06949997779553779
gaussdist_equal,12,DISTMARGIN,0.9666666666666668,0.02576005137637698
gaussdist_equal,13,DISTMARGIN,0.9388888888888889,0.031180478223116207
gaussdist_equal,14,DISTMARGIN,0.9638888888888889,0.03356401659331826
gaussdist_equal,15,DISTMARGIN,0.9694444444444444,0.022222222222222233
gaussdist_equal,16,DISTMARGIN,0.9666666666666668,0.03469443332443555
gaussdist_equal,17,DISTMARGIN,0.9722222222222221,0.019641855032959663
gaussdist_equal,18,DISTMARGIN,0.9333333333333332,0.07576767609436591
gaussdist_equal,19,DISTMARGIN,0.975,0.020412414523193163
gaussdist_equal,20,DISTMARGIN,0.9555555555555555,0.05513731455910892
gaussdist_equal,21,DISTMARGIN,0.9722222222222221,0.017568209223157688
gaussdist_equal,22,DISTMARGIN,0.9638888888888889,0.031180478223116186
gaussdist_equal,23,DISTMARGIN,0.975,0.016197088596792534
gaussdist_equal,24,DISTMARGIN,0.9805555555555557,0.01416394309331329
gaussdist_equal,25,DISTMARGIN,0.9527777777777778,0.05386310952684813
gaussdist_equal,26,DISTMARGIN,0.961111111111111,0.025458753860865786
gaussdist_equal,27,DISTMARGIN,0.975,0.016197088596792534
gaussdist_equal,28,DISTMARGIN,0.975,0.016197088596792534
gaussdist_equal,29,DISTMARGIN,0.975,0.013608276348795441
gaussdist_equal,30,DISTMARGIN,0.9777777777777779,0.01883980550868132
gaussdist_equal,31,DISTMARGIN,0.975,0.016197088596792534
gaussdist_equal,32,DISTMARGIN,0.9777777777777779,0.011111111111111122
gaussdist_equal,33,DISTMARGIN,0.9777777777777779,0.01883980550868132
gaussdist_equal,34,DISTMARGIN,0.9833333333333334,0.010393492741038736
gaussdist_equal,35,DISTMARGIN,0.9805555555555557,0.01416394309331329
gaussdist_equal,2,HILB-DENSITY,0.8777777777777777,0.07103728806969123
gaussdist_equal,3,HILB-DENSITY,0.5,0.0
gaussdist_equal,4,HILB-DENSITY,0.5,0.0
gaussdist_equal,5,HILB-DENSITY,0.5,0.0
gaussdist_equal,6,HILB-DENSITY,0.5,0.0
gaussdist_equal,7,HILB-DENSITY,0.5,0.0
gaussdist_equal,8,HILB-DENSITY,0.5,0.0
gaussdist_equal,9,HILB-DENSITY,0.5,0.0
gaussdist_equal,10,HILB-DENSITY,0.5,0.0
gaussdist_equal,11,HILB-DENSITY,0.5,0.0
gaussdist_equal,12,HILB-DENSITY,0.5,0.0
gaussdist_equal,13,HILB-DENSITY,0.5,0.0
gaussdist_equal,14,HILB-DENSITY,0.5,0.0
gaussdist_equal,15,HILB-DENSITY,0.5,0.0
gaussdist_equal,16,HILB-DENSITY,0.5,0.0
gaussdist_equal,17,HILB-DENSITY,0.5,0.0
gaussdist_equal,18,HILB-DENSITY,0.5,0.0
gaussdist_equal,19,HILB-DENSITY,0.5,0.0
gaussdist_equal,20,HILB-DENSITY,0.5,0.0
gaussdist_equal,21,HILB-DENSITY,0.5,0.0
gaussdist_equal,22,HILB-DENSITY,0.5,0.0
gaussdist_equal,23,HILB-DENSITY,0.5,0.0
gaussdist_equal,24,HILB-DENSITY,0.5,0.0
gaussdist_equal,25,HILB-DENSITY,0.5,0.0
gaussdist_equal,26,HILB-DENSITY,0.5,0.0
gaussdist_equal,27,HILB-DENSITY,0.5,0.0
gaussdist_equal,28,HILB-DENSITY,0.5,0.0
gaussdist_equal,29,HILB-DENSITY,0.5,0.0
gaussdist_equal,30,HILB-DENSITY,0.5,0.0
gaussdist_equal,31,HILB-DENSITY,0.5,0.0
gaussdist_equal,32,HILB-DENSITY,0.5,0.0
gaussdist_equal,33,HILB-DENSITY,0.5,0.0
gaussdist_equal,34,HILB-DENSITY,0.5,0.0
gaussdist_equal,35,HILB-DENSITY,0.5,0.0
gaussdist_equal,2,DISTRAND,0.763888888888889,0.09820927516479826
gaussdist_equal,3,DISTRAND,0.5,0.0
gaussdist_equal,4,DISTRAND,0.7277777777777777,0.2019580081032615
gaussdist_equal,5,DISTRAND,0.5,0.0
gaussdist_equal,6,DISTRAND,0.638888888888889,0.18404743081641609
gaussdist_equal,7,DISTRAND,0.538888888888889,0.05076574134026962
gaussdist_equal,8,DISTRAND,0.5972222222222222,0.18087578440110788
gaussdist_equal,9,DISTRAND,0.5611111111111111,0.07934920476158722
gaussdist_equal,10,DISTRAND,0.6222222222222222,0.17356110390903673
gaussdist_equal,11,DISTRAND,0.7694444444444445,0.22110831935702666
gaussdist_equal,12,DISTRAND,0.6944444444444444,0.1950387742393551
gaussdist_equal,13,DISTRAND,0.7944444444444445,0.18329124095915136
gaussdist_equal,14,DISTRAND,0.8555555555555555,0.18014911518989957
gaussdist_equal,15,DISTRAND,0.8805555555555555,0.15728208518768963
gaussdist_equal,16,DISTRAND,0.8722222222222221,0.16745185414557262
gaussdist_equal,17,DISTRAND,0.9277777777777777,0.07627516787636657
gaussdist_equal,18,DISTRAND,0.9722222222222223,0.0152145154862546
gaussdist_equal,19,DISTRAND,0.9722222222222223,0.008784104611578835
gaussdist_equal,20,DISTRAND,0.975,0.010393492741038736
