dataset,budget,method,mean_accuracy,std_accuracy
gaussdist_variable,2,TC-BKME-PMAL,0.7916666666666666,0.13117465503463996
gaussdist_variable,3,TC-BKME-PMAL,0.5,0.0
gaussdist_variable,4,TC-BKME-PMAL,0.8277777777777778,0.17950549357115014
gaussdist_variable,5,TC-BKME-PMAL,0.5,0.0
gaussdist_variable,6,TC-BKME-PMAL,0.975,0.010393492741038736
gaussdist_variable,7,TC-BKME-PMAL,0.5,0.0
gaussdist_variable,8,TC-BKME-PMAL,0.975,0.018425693279752235
gaussdist_variable,9,TC-BKME-PMAL,0.6166666666666667,0.0940350604433931
gaussdist_variable,10,TC-BKME-PMAL,0.9555555555555555,0.03447131568330796
gaussdist_variable,11,TC-BKME-PMAL,0.8111111111111111,0.15629783218483556
gaussdist_variable,12,TC-BKME-PMAL,0.961111111111111,0.050765741340269614
gaussdist_variable,13,TC-BKME-PMAL,0.8805555555555555,0.09883581597031775
gaussdist_variable,14,TC-BKME-PMAL,0.9722222222222223,0.029133579115837565
gaussdist_variable,15,TC-BKME-PMAL,0.9361111111111111,0.04082482904638628
gaussdist_variable,16,TC-BKME-PMAL,0.975,0.029658550700086998
gaussdist_variable,17,TC-BKME-PMAL,0.9722222222222221,1.1102230246251565e-16
gaussdist_variable,18,TC-BKME-PMAL,0.9694444444444444,0.03447131568330794
gaussdist_variable,19,TC-BKME-PMAL,0.9694444444444444,0.013608276348795455
gaussdist_variable,20,TC-BKME-PMAL,0.9888888888888889,0.005555555555555536
gaussdist_variable,21,TC-BKME-PMAL,0.9722222222222223,0.023240556292613235
gaussdist_variable,22,TC-BKME-PMAL,0.9777777777777779,0.011111111111111122
gaussdist_variable,23,TC-BKME-PMAL,0.9694444444444444,0.020412414523193156
gaussdist_variable,24,TC-BKME-PMAL,0.975,0.020412414523193163
gaussdist_variable,25,TC-BKME-PMAL,0.986111111111111,0.008784104611578835
gaussdist_variable,26,TC-BKME-PMAL,0.9666666666666668,0.029917582261858356
gaussdist_variable,27,TC-BKME-PMAL,0.9833333333333334,0.010393492741038736
gaussdist_variable,28,TC-BKME-PMAL,0.9805555555555555,0.018839805508681286
gaussdist_variable,29,TC-BKME-PMAL,0.986111111111111,0.008784104611578835
gaussdist_variable,30,TC-BKME-PMAL,0.9777777777777779,0.020786985482077462
gaussdist_variable,31,TC-BKME-PMAL,0.9833333333333334,0.010393492741038736
gaussdist_variable,32,TC-BKME-PMAL,0.9805555555555555,0.01666666666666666
gaussdist_variable,33,TC-BKME-PMAL,0.986111111111111,0.012422599874998837
gaussdist_variable,34,TC-BKME-PMAL,0.9777777777777779,0.020786985482077462
gaussdist_variable,35,TC-BKME-PMAL,0.9777777777777779,0.01416394309331329
gaussdist_variable,2,PMARLDS-lite,0.8694444444444445,0.07060147237299354
gaussdist_variable,3,PMARLDS-lite,0.5,0.0
gaussdist_variable,4,PMARLDS-lite,0.913888888888889,0.05651941652604391
gaussdist_variable,5,PMARLDS-lite,0.5,0.0
gaussdist_variable,6,PMARLDS-lite,0.9222222222222222,0.02421610524189263
gaussdist_variable,7,PMARLDS-lite,0.5,0.0
gaussdist_variable,8,PMARLDS-lite,0.975,0.018425693279752235
gaussdist_variable,9,PMARLDS-lite,0.5777777777777777,0.10038506110884808
gaussdist_variable,10,PMARLDS-lite,0.9777777777777779,0.018839805508681317
gaussdist_variable,11,PMARLDS-lite,0.775,0.10950224080237235
gaussdist_variable,12,PMARLDS-lite,0.9777777777777779,0.018839805508681317
gaussdist_variable,13,PMARLDS-lite,0.8722222222222221,0.06883062051868816
gaussdist_variable,14,PMARLDS-lite,0.9777777777777779,0.018839805508681317
gaussdist_variable,15,PMARLDS-lite,0.9361111111111111,0.04614791034954486
gaussdist_variable,16,PMARLDS-lite,0.9805555555555555,0.018839805508681317
gaussdist_variable,17,PMARLDS-lite,0.9555555555555555,0.03333333333333334
gaussdist_variable,18,PMARLDS-lite,0.9805555555555555,0.018839805508681317
gaussdist_variable,19,PMARLDS-lite,0.9694444444444444,0.020412414523193156
gaussdist_variable,20,PMARLDS-lite,0.9694444444444444,0.026931554763424084
gaussdist_variable,21,PMARLDS-lite,0.9722222222222223,0.015214515486254642
gaussdist_variable,22,PMARLDS-lite,0.9527777777777778,0.04859126579037752
gaussdist_variable,23,PMARLDS-lite,0.9777777777777779,0.016666666666666698
gaussdist_variable,24,PMARLDS-lite,0.9777777777777779,0.01416394309331329
gaussdist_variable,25,PMARLDS-lite,0.9722222222222223,0.029133579115837565
gaussdist_variable,26,PMARLDS-lite,0.9805555555555557,0.006804138174397747
gaussdist_variable,27,PMARLDS-lite,0.9777777777777779,0.018839805508681317
gaussdist_variable,28,PMARLDS-lite,0.9833333333333334,0.010393492741038736
gaussdist_variable,29,PMARLDS-lite,0.975,0.010393492741038736
gaussdist_variable,30,PMARLDS-lite,0.9833333333333334,0.010393492741038736
gaussdist_variable,31,PMARLDS-lite,0.9805555555555555,0.020786985482077462
gaussdist_variable,32,PMARLDS-lite,0.9833333333333334,0.010393492741038736
gaussdist_variable,33,PMARLDS-lite,0.975,0.018425693279752235
gaussdist_variable,34,PMARLDS-lite,0.986111111111111,0.008784104611578835
gaussdist_variable,35,PMARLDS-lite,0.975,0.018425693279752235
gaussdist_variable,2,DISTMARGIN,0.8583333333333334,0.04598040377013015
gaussdist_variable,3,DISTMARGIN,0.5,0.0
gaussdist_variable,4,DISTMARGIN,0.8861111111111111,0.14444444444444446
gaussdist_variable,5,DISTMARGIN,0.5,0.0
gaussdist_variable,6,DISTMARGIN,0.9333333333333333,0.03868996743662254
gaussdist_variable,7,DISTMARGIN,0.5805555555555555,0.03215510250775064
gaussdist_variable,8,DISTMARGIN,0.9555555555555555,0.02041241452319316
gaussdist_variable,9,DISTMARGIN,0.7611111111111111,0.09060836905722272
gaussdist_variable,10,DISTMARGIN,0.8638888888888887,0.17511019458304986
gaussdist_variable,11,DISTMARGIN,0.8833333333333334,0.05527707983925667
gaussdist_variable,12,DISTMARGIN,0.9638888888888889,0.014163943093313307
gaussdist_variable,13,DISTMARGIN,0.8833333333333334,0.05314201797141386
gaussdist_variable,14,DISTMARGIN,0.9555555555555555,0.018425693279752235
gaussdist_variable,15,DISTMARGIN,0.95,0.025760051376376977
gaussdist_variable,16,DISTMARGIN,0.9527777777777778,0.018839805508681317
gaussdist_variable,17,DISTMARGIN,0.975,0.018425693279752235
gaussdist_variable,18,DISTMARGIN,0.961111111111111,0.010393492741038724
gaussdist_variable,19,DISTMARGIN,0.9666666666666668,0.03239417719358502
gaussdist_variable,20,DISTMARGIN,0.925,0.0477906959280146
gaussdist_variable,21,DISTMARGIN,0.9694444444444444,0.028327886186626603
gaussdist_variable,22,DISTMARGIN,0.9638888888888889,0.0188398055086813
gaussdist_variable,23,DISTMARGIN,0.9666666666666666,0.02576005137637696
gaussdist_variable,24,DISTMARGIN,0.9555555555555555,0.022222222222222233
gaussdist_variable,25,DISTMARGIN,0.9833333333333334,0.013608276348795441
gaussdist_variable,26,DISTMARGIN,0.9611111111111112,0.02693155476342406
gaussdist_variable,27,DISTMARGIN,0.9805555555555555,0.0068041381743977475
gaussdist_variable,28,DISTMARGIN,0.9666666666666668,0.0285989726138528
gaussdist_variable,29,DISTMARGIN,0.9805555555555555,0.0068041381743977475
gaussdist_variable,30,DISTMARGIN,0.975,0.018425693279752235
gaussdist_variable,31,DISTMARGIN,0.9833333333333334,0.016197088596792492
gaussdist_variable,32,DISTMARGIN,0.9777777777777779,0.02576005137637695
gaussdist_variable,33,DISTMARGIN,0.986111111111111,0.008784104611578835
gaussdist_variable,34,DISTMARGIN,0.9694444444444444,0.02389534796400729
gaussdist_variable,35,DISTMARGIN,0.9833333333333334,0.005555555555555581
gaussdist_variable,2,HILB-DENSITY,0.8666666666666666,0.0898386757155346
gaussdist_variable,3,HILB-DENSITY,0.5,0.0
gaussdist_variable,4,HILB-DENSITY,0.5,0.0
gaussdist_variable,5,HILB-DENSITY,0.5,0.0
